ano;Prediccion;province;energy type;;;;
31/12/2024;893,17;Alberta;Hydro / Wave / Tidal;;;;
31/12/2025;892,80;Alberta;Hydro / Wave / Tidal;;;;
31/12/2026;892,49;Alberta;Hydro / Wave / Tidal;;;Suma de Prediccion;Etiquetas de columna
31/12/2027;892,26;Alberta;Hydro / Wave / Tidal;;;Etiquetas de fila;Saskatchewan
31/12/2028;892,09;Alberta;Hydro / Wave / Tidal;;;2024;213,0456046
31/12/2029;891,99;Alberta;Hydro / Wave / Tidal;;;2025;212,2461923
31/12/2030;891,91;Alberta;Hydro / Wave / Tidal;;;2026;211,0075817
31/12/2031;891,86;Alberta;Hydro / Wave / Tidal;;;2027;209,53662
31/12/2032;891,83;Alberta;Hydro / Wave / Tidal;;;2028;207,9386765
31/12/2033;891,81;Alberta;Hydro / Wave / Tidal;;;2029;206,2727386
31/12/2034;891,79;Alberta;Hydro / Wave / Tidal;;;2030;205,3819816
31/12/2035;891,78;Alberta;Hydro / Wave / Tidal;;;2031;204,4516469
31/12/2036;891,77;Alberta;Hydro / Wave / Tidal;;;2032;203,5709496
31/12/2037;891,77;Alberta;Hydro / Wave / Tidal;;;2033;202,7818907
31/12/2038;891,77;Alberta;Hydro / Wave / Tidal;;;2034;202,1048097
31/12/2039;891,76;Alberta;Hydro / Wave / Tidal;;;2035;201,5487627
31/12/2040;891,76;Alberta;Hydro / Wave / Tidal;;;2036;201,0368706
31/12/2041;891,76;Alberta;Hydro / Wave / Tidal;;;2037;200,5828154
31/12/2042;891,76;Alberta;Hydro / Wave / Tidal;;;2038;200,1862789
31/12/2043;891,76;Alberta;Hydro / Wave / Tidal;;;2039;199,8416071
31/12/2044;891,76;Alberta;Hydro / Wave / Tidal;;;2040;199,5399398
31/12/2045;891,76;Alberta;Hydro / Wave / Tidal;;;2041;199,2726858
31/12/2046;891,76;Alberta;Hydro / Wave / Tidal;;;2042;199,0379604
31/12/2047;891,76;Alberta;Hydro / Wave / Tidal;;;2043;198,8323861
31/12/2048;891,76;Alberta;Hydro / Wave / Tidal;;;2044;198,6522913
31/12/2049;891,76;Alberta;Hydro / Wave / Tidal;;;2045;198,4939068
31/12/2050;891,76;Alberta;Hydro / Wave / Tidal;;;2046;198,354736
31/12/2051;891,76;Alberta;Hydro / Wave / Tidal;;;2047;198,2326005
31/12/2024;4079,14;Alberta;Wind;;;2048;198,1253954
31/12/2025;4945,88;Alberta;Wind;;;2049;198,0313584
31/12/2026;6010,87;Alberta;Wind;;;2050;197,9485804
31/12/2027;7317,72;Alberta;Wind;;;2051;197,8761312
31/12/2028;8899,79;Alberta;Wind;;;;
31/12/2029;10834,54;Alberta;Wind;;;;
31/12/2030;13203,29;Alberta;Wind;;;;
31/12/2031;16062,64;Alberta;Wind;;;;
31/12/2032;19457,56;Alberta;Wind;;;;
31/12/2033;23385,83;Alberta;Wind;;;;
31/12/2034;27765,49;Alberta;Wind;;;;
31/12/2035;32412,19;Alberta;Wind;;;;
31/12/2036;37053,48;Alberta;Wind;;;;
31/12/2037;41390,31;Alberta;Wind;;;;
31/12/2038;45179,37;Alberta;Wind;;;;
31/12/2039;48290,08;Alberta;Wind;;;;
31/12/2040;50709,95;Alberta;Wind;;;;
31/12/2041;52510,77;Alberta;Wind;;;;
31/12/2042;53804,93;Alberta;Wind;;;;
31/12/2043;54710,61;Alberta;Wind;;;;
31/12/2044;55332,30;Alberta;Wind;;;;
31/12/2045;55753,30;Alberta;Wind;;;;
31/12/2046;56035,72;Alberta;Wind;;;;
31/12/2047;56224,00;Alberta;Wind;;;;
31/12/2048;56348,93;Alberta;Wind;;;;
31/12/2049;56431,65;Alberta;Wind;;;;
31/12/2050;56486,26;Alberta;Wind;;;;
31/12/2051;56522,32;Alberta;Wind;;;;
31/12/2024;313,71;Alberta;Biomass / Geothermal;;;;
31/12/2025;333,71;Alberta;Biomass / Geothermal;;;;
31/12/2026;351,39;Alberta;Biomass / Geothermal;;;;
31/12/2027;363,60;Alberta;Biomass / Geothermal;;;;
31/12/2028;368,50;Alberta;Biomass / Geothermal;;;;
31/12/2029;365,56;Alberta;Biomass / Geothermal;;;;
31/12/2030;357,73;Alberta;Biomass / Geothermal;;;;
31/12/2031;347,43;Alberta;Biomass / Geothermal;;;;
31/12/2032;337,40;Alberta;Biomass / Geothermal;;;;
31/12/2033;329,80;Alberta;Biomass / Geothermal;;;;
31/12/2034;325,80;Alberta;Biomass / Geothermal;;;;
31/12/2035;325,50;Alberta;Biomass / Geothermal;;;;
31/12/2036;328,22;Alberta;Biomass / Geothermal;;;;
31/12/2037;332,75;Alberta;Biomass / Geothermal;;;;
31/12/2038;337,77;Alberta;Biomass / Geothermal;;;;
31/12/2039;342,11;Alberta;Biomass / Geothermal;;;;
31/12/2040;344,99;Alberta;Biomass / Geothermal;;;;
31/12/2041;346,08;Alberta;Biomass / Geothermal;;;;
31/12/2042;345,50;Alberta;Biomass / Geothermal;;;;
31/12/2043;343,70;Alberta;Biomass / Geothermal;;;;
31/12/2044;341,33;Alberta;Biomass / Geothermal;;;;
31/12/2045;338,99;Alberta;Biomass / Geothermal;;;;
31/12/2046;337,20;Alberta;Biomass / Geothermal;;;;
31/12/2047;336,22;Alberta;Biomass / Geothermal;;;;
31/12/2048;336,11;Alberta;Biomass / Geothermal;;;;
31/12/2049;336,71;Alberta;Biomass / Geothermal;;;;
31/12/2050;337,75;Alberta;Biomass / Geothermal;;;;
31/12/2051;338,92;Alberta;Biomass / Geothermal;;;;
31/12/2024;2493,90;Alberta;Solar;;;;
31/12/2025;4747,83;Alberta;Solar;;;;
31/12/2026;8432,22;Alberta;Solar;;;;
31/12/2027;12807,47;Alberta;Solar;;;;
31/12/2028;16257,11;Alberta;Solar;;;;
31/12/2029;18522,91;Alberta;Solar;;;;
31/12/2030;19739,01;Alberta;Solar;;;;
31/12/2031;20341,39;Alberta;Solar;;;;
31/12/2032;20593,93;Alberta;Solar;;;;
31/12/2033;20679,63;Alberta;Solar;;;;
31/12/2034;20708,27;Alberta;Solar;;;;
31/12/2035;20718,15;Alberta;Solar;;;;
31/12/2036;20721,96;Alberta;Solar;;;;
31/12/2037;20723,36;Alberta;Solar;;;;
31/12/2038;20723,80;Alberta;Solar;;;;
31/12/2039;20723,96;Alberta;Solar;;;;
31/12/2040;20724,01;Alberta;Solar;;;;
31/12/2041;20724,03;Alberta;Solar;;;;
31/12/2042;20724,04;Alberta;Solar;;;;
31/12/2043;20724,04;Alberta;Solar;;;;
31/12/2044;20724,05;Alberta;Solar;;;;
31/12/2045;20724,05;Alberta;Solar;;;;
31/12/2046;20724,05;Alberta;Solar;;;;
31/12/2047;20724,05;Alberta;Solar;;;;
31/12/2048;20724,05;Alberta;Solar;;;;
31/12/2049;20724,05;Alberta;Solar;;;;
31/12/2050;20724,05;Alberta;Solar;;;;
31/12/2051;20724,05;Alberta;Solar;;;;
31/12/2024;0,00;Alberta;Uranium;;;;
31/12/2025;0,00;Alberta;Uranium;;;;
31/12/2026;0,00;Alberta;Uranium;;;;
31/12/2027;0,00;Alberta;Uranium;;;;
31/12/2028;0,00;Alberta;Uranium;;;;
31/12/2029;0,00;Alberta;Uranium;;;;
31/12/2030;0,00;Alberta;Uranium;;;;
31/12/2031;0,00;Alberta;Uranium;;;;
31/12/2032;0,00;Alberta;Uranium;;;;
31/12/2033;0,00;Alberta;Uranium;;;;
31/12/2034;0,00;Alberta;Uranium;;;;
31/12/2035;0,00;Alberta;Uranium;;;;
31/12/2036;0,00;Alberta;Uranium;;;;
31/12/2037;0,00;Alberta;Uranium;;;;
31/12/2038;0,00;Alberta;Uranium;;;;
31/12/2039;0,00;Alberta;Uranium;;;;
31/12/2040;0,00;Alberta;Uranium;;;;
31/12/2041;0,00;Alberta;Uranium;;;;
31/12/2042;0,00;Alberta;Uranium;;;;
31/12/2043;0,00;Alberta;Uranium;;;;
31/12/2044;0,00;Alberta;Uranium;;;;
