,Predicción,Province,Sector
2024-12-31,91.69137291717529,Alberta,Commercial
2025-12-31,92.7339688316822,Alberta,Commercial
2026-12-31,93.55635864069461,Alberta,Commercial
2027-12-31,94.1799885437727,Alberta,Commercial
2028-12-31,94.59753280235529,Alberta,Commercial
2029-12-31,94.80527430357932,Alberta,Commercial
2030-12-31,95.44428083482981,Alberta,Commercial
2031-12-31,95.97996190621853,Alberta,Commercial
2032-12-31,96.45646608403922,Alberta,Commercial
2033-12-31,96.90959413273336,Alberta,Commercial
2034-12-31,97.37487845375539,Alberta,Commercial
2035-12-31,97.88900483841897,Alberta,Commercial
2036-12-31,98.37514724437,Alberta,Commercial
2037-12-31,98.85237086338998,Alberta,Commercial
2038-12-31,99.33098197615148,Alberta,Commercial
2039-12-31,99.81487470089198,Alberta,Commercial
2040-12-31,100.3018336155057,Alberta,Commercial
2041-12-31,100.7831397778392,Alberta,Commercial
2042-12-31,101.2637150792718,Alberta,Commercial
2043-12-31,101.74522679623367,Alberta,Commercial
2044-12-31,102.22718959140778,Alberta,Commercial
2045-12-31,102.70870701822044,Alberta,Commercial
2046-12-31,103.1891567029357,Alberta,Commercial
2047-12-31,103.66945793153049,Alberta,Commercial
2048-12-31,104.14967351236345,Alberta,Commercial
2049-12-31,104.6296492794633,Alberta,Commercial
2050-12-31,105.10920822745562,Alberta,Commercial
2051-12-31,105.58838461544515,Alberta,Commercial
2024-12-31,258.57299147815706,Alberta,Industrial
2025-12-31,260.5109998354197,Alberta,Industrial
2026-12-31,263.0435894030214,Alberta,Industrial
2027-12-31,266.023095516336,Alberta,Industrial
2028-12-31,269.3796485575319,Alberta,Industrial
2029-12-31,273.0970763675094,Alberta,Industrial
2030-12-31,275.7982821138025,Alberta,Industrial
2031-12-31,278.7214935838938,Alberta,Industrial
2032-12-31,281.7234238416553,Alberta,Industrial
2033-12-31,284.7102931068778,Alberta,Industrial
2034-12-31,287.60876438655856,Alberta,Industrial
2035-12-31,290.3487672496319,Alberta,Industrial
2036-12-31,293.10450048269036,Alberta,Industrial
2037-12-31,295.8217445125938,Alberta,Industrial
2038-12-31,298.4777271186233,Alberta,Industrial
2039-12-31,301.0665042290569,Alberta,Industrial
2040-12-31,303.5947696183563,Alberta,Industrial
2041-12-31,306.08060986511714,Alberta,Industrial
2042-12-31,308.5112130850196,Alberta,Industrial
2043-12-31,310.88408919396403,Alberta,Industrial
2044-12-31,313.2008446978212,Alberta,Industrial
2045-12-31,315.46378225500587,Alberta,Industrial
2046-12-31,317.6738389939428,Alberta,Industrial
2047-12-31,319.82955567179926,Alberta,Industrial
2048-12-31,321.93089212592844,Alberta,Industrial
2049-12-31,323.97902646063574,Alberta,Industrial
2050-12-31,325.9746949911118,Alberta,Industrial
2051-12-31,327.9181520807863,Alberta,Industrial
2024-12-31,67.04590358377695,Alberta,Residential
2025-12-31,68.09140610182286,Alberta,Residential
2026-12-31,69.3748736590147,Alberta,Residential
2027-12-31,70.85321150550843,Alberta,Residential
2028-12-31,72.51457896602153,Alberta,Residential
2029-12-31,74.36865491503477,Alberta,Residential
2030-12-31,75.83302025099992,Alberta,Residential
2031-12-31,77.44388718862534,Alberta,Residential
2032-12-31,79.1347964062333,Alberta,Residential
2033-12-31,80.86143312778472,Alberta,Residential
2034-12-31,82.58637893583774,Alberta,Residential
2035-12-31,84.26894916738271,Alberta,Residential
2036-12-31,86.00717827818393,Alberta,Residential
2037-12-31,87.76616067668199,Alberta,Residential
2038-12-31,89.53016872694492,Alberta,Residential
2039-12-31,91.29362027403116,Alberta,Residential
2040-12-31,93.05902814382314,Alberta,Residential
2041-12-31,94.83753096144198,Alberta,Residential
2042-12-31,96.61638480414152,Alberta,Residential
2043-12-31,98.39133456301688,Alberta,Residential
2044-12-31,100.16115165028572,Alberta,Residential
2045-12-31,101.92508692705631,Alberta,Residential
2046-12-31,103.68145376062392,Alberta,Residential
2047-12-31,105.42527786874771,Alberta,Residential
2048-12-31,107.15416200697422,Alberta,Residential
2049-12-31,108.86607707910538,Alberta,Residential
2050-12-31,110.55869433338641,Alberta,Residential
2051-12-31,112.22932543139457,Alberta,Residential
2024-12-31,98.2087204828024,British Columbia,Commercial
2025-12-31,100.06982553305627,British Columbia,Commercial
2026-12-31,102.11261551485063,British Columbia,Commercial
2027-12-31,104.31123756265642,British Columbia,Commercial
2028-12-31,106.66235730531217,British Columbia,Commercial
2029-12-31,109.15691628272535,British Columbia,Commercial
2030-12-31,111.4989316091776,British Columbia,Commercial
2031-12-31,113.94001299214364,British Columbia,Commercial
2032-12-31,116.4547007461548,British Columbia,Commercial
2033-12-31,119.02383117294312,British Columbia,Commercial
2034-12-31,121.62914948399067,British Columbia,Commercial
2035-12-31,124.25274811472894,British Columbia,Commercial
2036-12-31,126.92488150486948,British Columbia,Commercial
2037-12-31,129.63346830346586,British Columbia,Commercial
2038-12-31,132.37049172227384,British Columbia,Commercial
2039-12-31,135.13039107186796,British Columbia,Commercial
2040-12-31,137.90984219355585,British Columbia,Commercial
2041-12-31,140.70739491672518,British Columbia,Commercial
2042-12-31,143.51633454294205,British Columbia,Commercial
2043-12-31,146.33097272691728,British Columbia,Commercial
2044-12-31,149.14589686002734,British Columbia,Commercial
2045-12-31,151.95617431969643,British Columbia,Commercial
2046-12-31,154.75632101001742,British Columbia,Commercial
2047-12-31,157.54035242409708,British Columbia,Commercial
2048-12-31,160.3025700041771,British Columbia,Commercial
2049-12-31,163.03730582990647,British Columbia,Commercial
2050-12-31,165.739177930069,British Columbia,Commercial
2051-12-31,168.40293709554672,British Columbia,Commercial
2024-12-31,173.89614054870606,British Columbia,Industrial
2025-12-31,176.79991782050132,British Columbia,Industrial
2026-12-31,180.0264208389759,British Columbia,Industrial
2027-12-31,183.5344797785282,British Columbia,Industrial
2028-12-31,187.28726289138794,British Columbia,Industrial
2029-12-31,191.2654060040474,British Columbia,Industrial
2030-12-31,194.98609362802506,British Columbia,Industrial
2031-12-31,198.8164172625065,British Columbia,Industrial
2032-12-31,202.72580079369544,British Columbia,Industrial
2033-12-31,206.69140120306014,British Columbia,Industrial
2034-12-31,210.69617005429268,British Columbia,Industrial
2035-12-31,214.72626531643868,British Columbia,Industrial
2036-12-31,218.80439378819466,British Columbia,Industrial
2037-12-31,222.9228223742962,British Columbia,Industrial
2038-12-31,227.07652141928673,British Columbia,Industrial
2039-12-31,231.26222164711953,British Columbia,Industrial
2040-12-31,235.47793215250968,British Columbia,Industrial
2041-12-31,239.72189255604744,British Columbia,Industrial
2042-12-31,243.99037252993583,British Columbia,Industrial
2043-12-31,248.2802075826168,British Columbia,Industrial
2044-12-31,252.58782456302643,British Columbia,Industrial
2045-12-31,256.9099751520157,British Columbia,Industrial
2046-12-31,261.242981414032,British Columbia,Industrial
2047-12-31,265.58305015058517,British Columbia,Industrial
2048-12-31,269.92615763731004,British Columbia,Industrial
2049-12-31,274.2684478050232,British Columbia,Industrial
2050-12-31,278.60570831727983,British Columbia,Industrial
2051-12-31,282.9339992773056,British Columbia,Industrial
