,Predicción,Category
2024-12-31,17.642273312798736,Electricity
2025-12-31,17.621099466147413,Electricity
2026-12-31,17.5658521728995,Electricity
2027-12-31,17.508098651875805,Electricity
2028-12-31,17.43158217125266,Electricity
2029-12-31,17.332457606431465,Electricity
2030-12-31,17.27944460644681,Electricity
2031-12-31,17.22030726936371,Electricity
2032-12-31,17.16067188372286,Electricity
2033-12-31,17.10133305042325,Electricity
2034-12-31,17.045268056309908,Electricity
2035-12-31,16.99600697469376,Electricity
2036-12-31,16.94739231267237,Electricity
2037-12-31,16.900674314425277,Electricity
2038-12-31,16.856235955576793,Electricity
2039-12-31,16.814331098591783,Electricity
2040-12-31,16.7747881301672,Electricity
2041-12-31,16.736925340410476,Electricity
2042-12-31,16.70091823214673,Electricity
2043-12-31,16.66674659883447,Electricity
2044-12-31,16.63432392232424,Electricity
2045-12-31,16.603520804857414,Electricity
2046-12-31,16.574216386650644,Electricity
2047-12-31,16.546376610669224,Electricity
2048-12-31,16.519937631831368,Electricity
2049-12-31,16.494817390708036,Electricity
2050-12-31,16.4709478680962,Electricity
2051-12-31,16.44826436511655,Electricity
2024-12-31,554.6765631574457,Total
2025-12-31,552.8413328151715,Total
2026-12-31,550.5940820968478,Total
2027-12-31,547.9560779885093,Total
2028-12-31,544.8836234797874,Total
2029-12-31,541.3809355430633,Total
2030-12-31,538.7485261601676,Total
2031-12-31,536.0485928185469,Total
2032-12-31,533.3325047471496,Total
2033-12-31,530.644720682527,Total
2034-12-31,528.031319946464,Total
2035-12-31,525.5369683218905,Total
2036-12-31,523.0855110834531,Total
2037-12-31,520.6894323609348,Total
2038-12-31,518.3556797105907,Total
2039-12-31,516.0866610051187,Total
2040-12-31,513.8805895109563,Total
2041-12-31,511.731340745106,Total
2042-12-31,509.64000361815096,Total
2043-12-31,507.6061589250778,Total
2044-12-31,505.62876376560996,Total
2045-12-31,503.70644294281385,Total
2046-12-31,501.83777013719333,Total
2047-12-31,500.0220449696411,Total
2048-12-31,498.2579944883488,Total
2049-12-31,496.5446729259086,Total
2050-12-31,494.8808584530747,Total
2051-12-31,493.26546727152044,Total
