,Predicción,Province,Sector
2024-12-31,64.339202136098,Alberta,Commercial
2025-12-31,64.67082709931118,Alberta,Commercial
2026-12-31,64.97817067599682,Alberta,Commercial
2027-12-31,65.26326990595715,Alberta,Commercial
2028-12-31,65.5275542347048,Alberta,Commercial
2029-12-31,65.77233478675927,Alberta,Commercial
2030-12-31,66.00105246451797,Alberta,Commercial
2031-12-31,66.21378401673327,Alberta,Commercial
2032-12-31,66.41161351953222,Alberta,Commercial
2033-12-31,66.59568900633553,Alberta,Commercial
2034-12-31,66.76693785790087,Alberta,Commercial
2035-12-31,66.92623948701568,Alberta,Commercial
2036-12-31,67.07450528511423,Alberta,Commercial
2037-12-31,67.21245477174988,Alberta,Commercial
2038-12-31,67.34075949850578,Alberta,Commercial
2039-12-31,67.46014857852931,Alberta,Commercial
2040-12-31,67.57127117835086,Alberta,Commercial
2041-12-31,67.67459738407862,Alberta,Commercial
2042-12-31,67.77076996651361,Alberta,Commercial
2043-12-31,67.86023982457593,Alberta,Commercial
2044-12-31,67.94351541874995,Alberta,Commercial
2045-12-31,68.02095171201535,Alberta,Commercial
2046-12-31,68.09300599902156,Alberta,Commercial
2047-12-31,68.16005242993637,Alberta,Commercial
2048-12-31,68.22245236346879,Alberta,Commercial
2049-12-31,68.28051279462825,Alberta,Commercial
2050-12-31,68.33454711415355,Alberta,Commercial
2051-12-31,68.38475678751965,Alberta,Commercial
2024-12-31,53.37943901391706,Alberta,Industrial
2025-12-31,52.51822358269226,Alberta,Industrial
2026-12-31,51.67751628112792,Alberta,Industrial
2027-12-31,50.87473934855408,Alberta,Industrial
2028-12-31,50.12758463675128,Alberta,Industrial
2029-12-31,49.448439665593014,Alberta,Industrial
2030-12-31,48.8606903845921,Alberta,Industrial
2031-12-31,48.331786951488034,Alberta,Industrial
2032-12-31,47.85758554013909,Alberta,Industrial
2033-12-31,47.433326904679504,Alberta,Industrial
2034-12-31,47.05416388214008,Alberta,Industrial
2035-12-31,46.71530499038381,Alberta,Industrial
2036-12-31,46.41224887371497,Alberta,Industrial
2037-12-31,46.14130008321935,Alberta,Industrial
2038-12-31,45.89904450471368,Alberta,Industrial
2039-12-31,45.68246951212036,Alberta,Industrial
2040-12-31,45.488870189223825,Alberta,Industrial
2041-12-31,45.31579950997856,Alberta,Industrial
2042-12-31,45.161068338509125,Alberta,Industrial
2043-12-31,45.02274542911013,Alberta,Industrial
2044-12-31,44.899107606554324,Alberta,Industrial
2045-12-31,44.78857822412016,Alberta,Industrial
2046-12-31,44.68977405271365,Alberta,Industrial
2047-12-31,44.60145546117642,Alberta,Industrial
2048-12-31,44.522508832864986,Alberta,Industrial
2049-12-31,44.45194949622093,Alberta,Industrial
2050-12-31,44.38886604393867,Alberta,Industrial
2051-12-31,44.33250531949881,Alberta,Industrial
2024-12-31,69.75642861615555,Alberta,Residential
2025-12-31,69.8877537724136,Alberta,Residential
2026-12-31,69.99137451470017,Alberta,Residential
2027-12-31,70.07391064561845,Alberta,Residential
2028-12-31,70.14074441959265,Alberta,Residential
2029-12-31,70.19623040141212,Alberta,Residential
2030-12-31,70.25468217824401,Alberta,Residential
2031-12-31,70.30685362952929,Alberta,Residential
2032-12-31,70.35392366650078,Alberta,Residential
2033-12-31,70.39674715411003,Alberta,Residential
2034-12-31,70.43588577257793,Alberta,Residential
2035-12-31,70.4717530666825,Alberta,Residential
2036-12-31,70.50442927645526,Alberta,Residential
2037-12-31,70.53423227586737,Alberta,Residential
2038-12-31,70.56146142195965,Alberta,Residential
2039-12-31,70.58628645326039,Alberta,Residential
2040-12-31,70.60897277910469,Alberta,Residential
2041-12-31,70.62968396571075,Alberta,Residential
2042-12-31,70.64856814852143,Alberta,Residential
2043-12-31,70.66580123837515,Alberta,Residential
2044-12-31,70.68151593993946,Alberta,Residential
2045-12-31,70.69589125020782,Alberta,Residential
2046-12-31,70.70898889228145,Alberta,Residential
2047-12-31,70.7209816908437,Alberta,Residential
2048-12-31,70.73191593822042,Alberta,Residential
2049-12-31,70.74184409904768,Alberta,Residential
2050-12-31,70.7509544287841,Alberta,Residential
2051-12-31,70.7592685305151,Alberta,Residential
2024-12-31,36.107924174460436,British Columbia,Commercial
2025-12-31,36.31252367652471,British Columbia,Commercial
2026-12-31,36.48883376043823,British Columbia,Commercial
2027-12-31,36.64065416442713,British Columbia,Commercial
2028-12-31,36.76973375308952,British Columbia,Commercial
2029-12-31,36.87781395695504,British Columbia,Commercial
2030-12-31,37.000935139771,British Columbia,Commercial
2031-12-31,37.11265617864998,British Columbia,Commercial
2032-12-31,37.21536526807503,British Columbia,Commercial
2033-12-31,37.31093207625622,British Columbia,Commercial
2034-12-31,37.40097537159413,British Columbia,Commercial
2035-12-31,37.486877890816686,British Columbia,Commercial
2036-12-31,37.56701157293777,British Columbia,Commercial
2037-12-31,37.64209938111219,British Columbia,Commercial
2038-12-31,37.71264869051026,British Columbia,Commercial
2039-12-31,37.77902562900214,British Columbia,Commercial
2040-12-31,37.84141790681569,British Columbia,Commercial
2041-12-31,37.89996862976819,British Columbia,Commercial
2042-12-31,37.954986311699464,British Columbia,Commercial
2043-12-31,38.00667353097422,British Columbia,Commercial
2044-12-31,38.05522914892295,British Columbia,Commercial
2045-12-31,38.10085202687616,British Columbia,Commercial
2046-12-31,38.14371686544194,British Columbia,Commercial
2047-12-31,38.183972345988884,British Columbia,Commercial
2048-12-31,38.22180803726196,British Columbia,Commercial
2049-12-31,38.257341025838926,British Columbia,Commercial
2050-12-31,38.29073114419103,British Columbia,Commercial
2051-12-31,38.32209362037892,British Columbia,Commercial
2024-12-31,32.292492622613594,British Columbia,Industrial
2025-12-31,32.52638757082214,British Columbia,Industrial
2026-12-31,32.73567739531276,British Columbia,Industrial
2027-12-31,32.92285517487391,British Columbia,Industrial
2028-12-31,33.088848224420246,British Columbia,Industrial
2029-12-31,33.23532350290551,British Columbia,Industrial
2030-12-31,33.392687371995926,British Columbia,Industrial
2031-12-31,33.53849292304282,British Columbia,Industrial
2032-12-31,33.67471254015041,British Columbia,Industrial
2033-12-31,33.803024221735704,British Columbia,Industrial
2034-12-31,33.924918295340134,British Columbia,Industrial
2035-12-31,34.04173053601935,British Columbia,Industrial
2036-12-31,34.15193381802103,British Columbia,Industrial
2037-12-31,34.25623466699443,British Columbia,Industrial
2038-12-31,34.35510410003908,British Columbia,Industrial
2039-12-31,34.44893585801159,British Columbia,Industrial
2040-12-31,34.537947050356266,British Columbia,Industrial
2041-12-31,34.62226279099018,British Columbia,Industrial
2042-12-31,34.702181145421605,British Columbia,Industrial
2043-12-31,34.7779413020214,British Columbia,Industrial
2044-12-31,34.8497787693393,British Columbia,Industrial
2045-12-31,34.91787753842983,British Columbia,Industrial
2046-12-31,34.98243263981074,British Columbia,Industrial
2047-12-31,35.04363174435761,British Columbia,Industrial
2048-12-31,35.101629404556235,British Columbia,Industrial
2049-12-31,35.15661697110329,British Columbia,Industrial
