"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","130528482","","","","0"
"2011","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","130671821","","","","0"
"2012","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","","..","","","0"
"2013","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","130922302","","r","","0"
"2014","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","135088014","","","","0"
"2015","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","141396648","","","","0"
"2016","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","144375482","","","","0"
"2017","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","145213838","","","","0"
"2018","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","145304155","","","","0"
"2019","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","145537767","","","","0"
"2020","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","145960899","","","","0"
"2021","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","149530514","","","","0"
"2022","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units","0","v53517872","1.1.1","152206558","","","","0"
"2010","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","93910766","","","","0"
"2011","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","94070930","","","","0"
"2012","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","","..","","","0"
"2013","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","89708574","","r","","0"
"2014","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","90411787","","","","0"
"2015","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","92124316","","","","0"
"2016","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","93672886","","","","0"
"2017","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","93355848","","","","0"
"2018","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","93074189","","","","0"
"2019","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","93746036","","","","0"
"2020","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","93788802","","","","0"
"2021","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","95275188","","","","0"
"2022","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517881","1.2.1","95166384","","","","0"
"2010","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","27705125","","","","0"
"2011","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","27691677","","","","0"
"2012","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","","..","","","0"
"2013","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","31899040","","r","","0"
"2014","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","35247539","","","","0"
"2015","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","39908339","","","","0"
"2016","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","41537207","","","","0"
"2017","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","42681003","","","","0"
"2018","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","44828168","","","","0"
"2019","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","44133850","","","","0"
"2020","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","44613990","","","","0"
"2021","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","46685689","","","","0"
"2022","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units","0","v53517889","1.3.1","49467747","","","","0"
"2010","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","8912591","","","","0"
"2011","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","8909214","","","","0"
"2012","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","","..","","","0"
"2013","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","9314688","","r","","0"
"2014","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","9428688","","","","0"
"2015","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","9363993","","","","0"
"2016","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","9165389","","","","0"
"2017","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","9176987","","","","0"
"2018","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","7401798","","","","0"
"2019","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","7657881","","","","0"
"2020","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","7558108","","","","0"
"2021","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","7569638","","","","0"
"2022","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units","0","v53517898","1.4.1","7572427","","","","0"


