,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Alberta,Electricity,2005,45.7268,Commercial
1,Current Measures,Alberta,Electricity,2005,137.6016,Industrial
2,Current Measures,Alberta,Electricity,2005,27.9687,Residential
3,Current Measures,Alberta,Electricity,2006,48.3445,Commercial
4,Current Measures,Alberta,Electricity,2006,144.2703,Industrial
5,Current Measures,Alberta,Electricity,2006,29.6352,Residential
6,Current Measures,Alberta,Electricity,2007,48.8933,Commercial
7,Current Measures,Alberta,Electricity,2007,142.3708,Industrial
8,Current Measures,Alberta,Electricity,2007,30.8091,Residential
9,Current Measures,Alberta,Electricity,2008,49.9452,Commercial
10,Current Measures,Alberta,Electricity,2008,142.7757,Industrial
11,Current Measures,Alberta,Electricity,2008,31.7981,Residential
12,Current Measures,Alberta,Electricity,2009,50.2679,Commercial
13,Current Measures,Alberta,Electricity,2009,142.2352,Industrial
14,Current Measures,Alberta,Electricity,2009,32.7248,Residential
15,Current Measures,Alberta,Electricity,2010,51.1331,Commercial
16,Current Measures,Alberta,Electricity,2010,142.1026,Industrial
17,Current Measures,Alberta,Electricity,2010,32.6549,Residential
18,Current Measures,Alberta,Electricity,2011,52.6979,Commercial
19,Current Measures,Alberta,Electricity,2011,148.5894,Industrial
20,Current Measures,Alberta,Electricity,2011,33.5985,Residential
21,Current Measures,Alberta,Electricity,2012,54.8513,Commercial
22,Current Measures,Alberta,Electricity,2012,154.8084,Industrial
23,Current Measures,Alberta,Electricity,2012,33.8828,Residential
24,Current Measures,Alberta,Electricity,2013,59.2912,Commercial
25,Current Measures,Alberta,Electricity,2013,152.4102,Industrial
26,Current Measures,Alberta,Electricity,2013,34.8405,Residential
27,Current Measures,Alberta,Electricity,2014,60.5463,Commercial
28,Current Measures,Alberta,Electricity,2014,163.4324,Industrial
29,Current Measures,Alberta,Electricity,2014,35.7372,Residential
30,Current Measures,Alberta,Electricity,2015,60.2368,Commercial
31,Current Measures,Alberta,Electricity,2015,171.4258,Industrial
32,Current Measures,Alberta,Electricity,2015,35.613,Residential
33,Current Measures,Alberta,Electricity,2016,60.1937,Commercial
34,Current Measures,Alberta,Electricity,2016,168.272,Industrial
35,Current Measures,Alberta,Electricity,2016,35.6878,Residential
36,Current Measures,Alberta,Electricity,2017,62.009,Commercial
37,Current Measures,Alberta,Electricity,2017,171.6167,Industrial
38,Current Measures,Alberta,Electricity,2017,36.2442,Residential
39,Current Measures,Alberta,Electricity,2018,64.31,Commercial
40,Current Measures,Alberta,Electricity,2018,172.2273,Industrial
41,Current Measures,Alberta,Electricity,2018,36.8743,Residential
42,Current Measures,Alberta,Electricity,2019,63.3639,Commercial
43,Current Measures,Alberta,Electricity,2019,178.1842,Industrial
44,Current Measures,Alberta,Electricity,2019,36.6228,Residential
45,Current Measures,Alberta,Electricity,2020,60.9693,Commercial
46,Current Measures,Alberta,Electricity,2020,180.7862,Industrial
47,Current Measures,Alberta,Electricity,2020,42.8569,Residential
48,Current Measures,Alberta,Electricity,2021,60.4664,Commercial
49,Current Measures,Alberta,Electricity,2021,172.9553,Industrial
50,Current Measures,Alberta,Electricity,2021,35.9589,Residential
51,Current Measures,Alberta,Electricity,2022,63.0575,Commercial
52,Current Measures,Alberta,Electricity,2022,180.3859,Industrial
53,Current Measures,Alberta,Electricity,2022,37.9108,Residential
54,Current Measures,Alberta,Electricity,2023,64.2849,Commercial
55,Current Measures,Alberta,Electricity,2023,186.2802,Industrial
56,Current Measures,Alberta,Electricity,2023,39.2544,Residential
57,Current Measures,Alberta,Electricity,2024,64.945,Commercial
58,Current Measures,Alberta,Electricity,2024,189.9385,Industrial
59,Current Measures,Alberta,Electricity,2024,40.213,Residential
60,Current Measures,Alberta,Electricity,2025,65.097,Commercial
61,Current Measures,Alberta,Electricity,2025,194.6327,Industrial
62,Current Measures,Alberta,Electricity,2025,41.2259,Residential
63,Current Measures,Alberta,Electricity,2026,65.5441,Commercial
64,Current Measures,Alberta,Electricity,2026,197.5334,Industrial
65,Current Measures,Alberta,Electricity,2026,42.2226,Residential
66,Current Measures,Alberta,Electricity,2027,66.3335,Commercial
67,Current Measures,Alberta,Electricity,2027,204.6875,Industrial
68,Current Measures,Alberta,Electricity,2027,43.2295,Residential
69,Current Measures,Alberta,Electricity,2028,67.2199,Commercial
70,Current Measures,Alberta,Electricity,2028,207.2432,Industrial
71,Current Measures,Alberta,Electricity,2028,44.2736,Residential
72,Current Measures,Alberta,Electricity,2029,68.195,Commercial
73,Current Measures,Alberta,Electricity,2029,210.9473,Industrial
74,Current Measures,Alberta,Electricity,2029,45.3064,Residential
75,Current Measures,Alberta,Electricity,2030,69.209,Commercial
76,Current Measures,Alberta,Electricity,2030,214.4562,Industrial
77,Current Measures,Alberta,Electricity,2030,46.2843,Residential
78,Current Measures,Alberta,Electricity,2031,70.1584,Commercial
79,Current Measures,Alberta,Electricity,2031,222.3084,Industrial
80,Current Measures,Alberta,Electricity,2031,47.2743,Residential
81,Current Measures,Alberta,Electricity,2032,71.1124,Commercial
82,Current Measures,Alberta,Electricity,2032,224.9597,Industrial
83,Current Measures,Alberta,Electricity,2032,48.2785,Residential
84,Current Measures,Alberta,Electricity,2033,72.0289,Commercial
85,Current Measures,Alberta,Electricity,2033,227.9377,Industrial
86,Current Measures,Alberta,Electricity,2033,49.2584,Residential
87,Current Measures,Alberta,Electricity,2034,72.8704,Commercial
88,Current Measures,Alberta,Electricity,2034,231.4137,Industrial
89,Current Measures,Alberta,Electricity,2034,50.2249,Residential
90,Current Measures,Alberta,Electricity,2035,73.6026,Commercial
91,Current Measures,Alberta,Electricity,2035,232.9644,Industrial
92,Current Measures,Alberta,Electricity,2035,51.1708,Residential
93,Current Measures,Alberta,Electricity,2036,74.3103,Commercial
94,Current Measures,Alberta,Electricity,2036,234.2795,Industrial
95,Current Measures,Alberta,Electricity,2036,52.1049,Residential
96,Current Measures,Alberta,Electricity,2037,75.1863,Commercial
97,Current Measures,Alberta,Electricity,2037,235.7507,Industrial
98,Current Measures,Alberta,Electricity,2037,53.0477,Residential
99,Current Measures,Alberta,Electricity,2038,76.1991,Commercial
100,Current Measures,Alberta,Electricity,2038,237.1702,Industrial
101,Current Measures,Alberta,Electricity,2038,54.0035,Residential
102,Current Measures,Alberta,Electricity,2039,77.3881,Commercial
103,Current Measures,Alberta,Electricity,2039,238.9061,Industrial
104,Current Measures,Alberta,Electricity,2039,54.9617,Residential
105,Current Measures,Alberta,Electricity,2040,78.6763,Commercial
106,Current Measures,Alberta,Electricity,2040,240.6352,Industrial
107,Current Measures,Alberta,Electricity,2040,55.9055,Residential
108,Current Measures,Alberta,Electricity,2041,80.0273,Commercial
109,Current Measures,Alberta,Electricity,2041,241.8497,Industrial
110,Current Measures,Alberta,Electricity,2041,56.8302,Residential
111,Current Measures,Alberta,Electricity,2042,81.4415,Commercial
112,Current Measures,Alberta,Electricity,2042,242.9177,Industrial
113,Current Measures,Alberta,Electricity,2042,57.7097,Residential
114,Current Measures,Alberta,Electricity,2043,82.8103,Commercial
115,Current Measures,Alberta,Electricity,2043,243.7516,Industrial
116,Current Measures,Alberta,Electricity,2043,58.5632,Residential
117,Current Measures,Alberta,Electricity,2044,84.2123,Commercial
118,Current Measures,Alberta,Electricity,2044,244.5791,Industrial
119,Current Measures,Alberta,Electricity,2044,59.3787,Residential
120,Current Measures,Alberta,Electricity,2045,85.601,Commercial
121,Current Measures,Alberta,Electricity,2045,245.3631,Industrial
122,Current Measures,Alberta,Electricity,2045,60.162,Residential
123,Current Measures,Alberta,Electricity,2046,87.1109,Commercial
124,Current Measures,Alberta,Electricity,2046,246.2103,Industrial
125,Current Measures,Alberta,Electricity,2046,60.9157,Residential
126,Current Measures,Alberta,Electricity,2047,88.6755,Commercial
127,Current Measures,Alberta,Electricity,2047,246.9985,Industrial
128,Current Measures,Alberta,Electricity,2047,61.6525,Residential
129,Current Measures,Alberta,Electricity,2048,90.2601,Commercial
130,Current Measures,Alberta,Electricity,2048,247.9003,Industrial
131,Current Measures,Alberta,Electricity,2048,62.3993,Residential
132,Current Measures,Alberta,Electricity,2049,91.9444,Commercial
133,Current Measures,Alberta,Electricity,2049,248.8975,Industrial
134,Current Measures,Alberta,Electricity,2049,63.1458,Residential
135,Current Measures,Alberta,Electricity,2050,93.6245,Commercial
136,Current Measures,Alberta,Electricity,2050,249.9045,Industrial
137,Current Measures,Alberta,Electricity,2050,63.8786,Residential
