,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,British Columbia,Electricity,2005,52.682,Commercial
1,Current Measures,British Columbia,Electricity,2005,111.1965,Industrial
2,Current Measures,British Columbia,Electricity,2005,63.413,Residential
3,Current Measures,British Columbia,Electricity,2006,53.7738,Commercial
4,Current Measures,British Columbia,Electricity,2006,100.6871,Industrial
5,Current Measures,British Columbia,Electricity,2006,63.7831,Residential
6,Current Measures,British Columbia,Electricity,2007,54.7024,Commercial
7,Current Measures,British Columbia,Electricity,2007,98.2237,Industrial
8,Current Measures,British Columbia,Electricity,2007,66.1139,Residential
9,Current Measures,British Columbia,Electricity,2008,54.8913,Commercial
10,Current Measures,British Columbia,Electricity,2008,90.9182,Industrial
11,Current Measures,British Columbia,Electricity,2008,67.4424,Residential
12,Current Measures,British Columbia,Electricity,2009,53.9442,Commercial
13,Current Measures,British Columbia,Electricity,2009,90.6199,Industrial
14,Current Measures,British Columbia,Electricity,2009,69.408,Residential
15,Current Measures,British Columbia,Electricity,2010,53.9712,Commercial
16,Current Measures,British Columbia,Electricity,2010,87.8941,Industrial
17,Current Measures,British Columbia,Electricity,2010,67.6152,Residential
18,Current Measures,British Columbia,Electricity,2011,54.5025,Commercial
19,Current Measures,British Columbia,Electricity,2011,84.7639,Industrial
20,Current Measures,British Columbia,Electricity,2011,70.4736,Residential
21,Current Measures,British Columbia,Electricity,2012,55.0897,Commercial
22,Current Measures,British Columbia,Electricity,2012,84.7765,Industrial
23,Current Measures,British Columbia,Electricity,2012,68.5368,Residential
24,Current Measures,British Columbia,Electricity,2013,53.3557,Commercial
25,Current Measures,British Columbia,Electricity,2013,85.6471,Industrial
26,Current Measures,British Columbia,Electricity,2013,69.6203,Residential
27,Current Measures,British Columbia,Electricity,2014,53.5911,Commercial
28,Current Measures,British Columbia,Electricity,2014,81.0896,Industrial
29,Current Measures,British Columbia,Electricity,2014,68.5836,Residential
30,Current Measures,British Columbia,Electricity,2015,53.9515,Commercial
31,Current Measures,British Columbia,Electricity,2015,78.725,Industrial
32,Current Measures,British Columbia,Electricity,2015,66.0384,Residential
33,Current Measures,British Columbia,Electricity,2016,53.4835,Commercial
34,Current Measures,British Columbia,Electricity,2016,93.4402,Industrial
35,Current Measures,British Columbia,Electricity,2016,67.2948,Residential
36,Current Measures,British Columbia,Electricity,2017,54.123,Commercial
37,Current Measures,British Columbia,Electricity,2017,91.9966,Industrial
38,Current Measures,British Columbia,Electricity,2017,71.1684,Residential
39,Current Measures,British Columbia,Electricity,2018,54.2592,Commercial
40,Current Measures,British Columbia,Electricity,2018,92.9714,Industrial
41,Current Measures,British Columbia,Electricity,2018,69.0696,Residential
42,Current Measures,British Columbia,Electricity,2019,54.4151,Commercial
43,Current Measures,British Columbia,Electricity,2019,93.3231,Industrial
44,Current Measures,British Columbia,Electricity,2019,67.2228,Residential
45,Current Measures,British Columbia,Electricity,2020,52.0534,Commercial
46,Current Measures,British Columbia,Electricity,2020,83.7515,Industrial
47,Current Measures,British Columbia,Electricity,2020,72.576,Residential
48,Current Measures,British Columbia,Electricity,2021,53.0304,Commercial
49,Current Measures,British Columbia,Electricity,2021,88.7166,Industrial
50,Current Measures,British Columbia,Electricity,2021,65.7271,Residential
51,Current Measures,British Columbia,Electricity,2022,57.0489,Commercial
52,Current Measures,British Columbia,Electricity,2022,93.6293,Industrial
53,Current Measures,British Columbia,Electricity,2022,70.3926,Residential
54,Current Measures,British Columbia,Electricity,2023,59.4433,Commercial
55,Current Measures,British Columbia,Electricity,2023,99.6926,Industrial
56,Current Measures,British Columbia,Electricity,2023,73.2987,Residential
57,Current Measures,British Columbia,Electricity,2024,61.1842,Commercial
58,Current Measures,British Columbia,Electricity,2024,102.8777,Industrial
59,Current Measures,British Columbia,Electricity,2024,75.0767,Residential
60,Current Measures,British Columbia,Electricity,2025,62.8646,Commercial
61,Current Measures,British Columbia,Electricity,2025,106.0597,Industrial
62,Current Measures,British Columbia,Electricity,2025,76.8431,Residential
63,Current Measures,British Columbia,Electricity,2026,64.6786,Commercial
64,Current Measures,British Columbia,Electricity,2026,109.4101,Industrial
65,Current Measures,British Columbia,Electricity,2026,78.5248,Residential
66,Current Measures,British Columbia,Electricity,2027,66.5698,Commercial
67,Current Measures,British Columbia,Electricity,2027,111.2138,Industrial
68,Current Measures,British Columbia,Electricity,2027,80.1671,Residential
69,Current Measures,British Columbia,Electricity,2028,68.0885,Commercial
70,Current Measures,British Columbia,Electricity,2028,115.2736,Industrial
71,Current Measures,British Columbia,Electricity,2028,81.7571,Residential
72,Current Measures,British Columbia,Electricity,2029,69.3762,Commercial
73,Current Measures,British Columbia,Electricity,2029,122.1309,Industrial
74,Current Measures,British Columbia,Electricity,2029,83.2609,Residential
75,Current Measures,British Columbia,Electricity,2030,70.5944,Commercial
76,Current Measures,British Columbia,Electricity,2030,127.3724,Industrial
77,Current Measures,British Columbia,Electricity,2030,84.7419,Residential
78,Current Measures,British Columbia,Electricity,2031,71.8946,Commercial
79,Current Measures,British Columbia,Electricity,2031,130.4144,Industrial
80,Current Measures,British Columbia,Electricity,2031,86.3592,Residential
81,Current Measures,British Columbia,Electricity,2032,73.2578,Commercial
82,Current Measures,British Columbia,Electricity,2032,137.7053,Industrial
83,Current Measures,British Columbia,Electricity,2032,87.999,Residential
84,Current Measures,British Columbia,Electricity,2033,74.494,Commercial
85,Current Measures,British Columbia,Electricity,2033,144.8877,Industrial
86,Current Measures,British Columbia,Electricity,2033,89.5942,Residential
87,Current Measures,British Columbia,Electricity,2034,75.7525,Commercial
88,Current Measures,British Columbia,Electricity,2034,146.7785,Industrial
89,Current Measures,British Columbia,Electricity,2034,91.1981,Residential
90,Current Measures,British Columbia,Electricity,2035,77.0156,Commercial
91,Current Measures,British Columbia,Electricity,2035,148.4283,Industrial
92,Current Measures,British Columbia,Electricity,2035,92.7689,Residential
93,Current Measures,British Columbia,Electricity,2036,78.3719,Commercial
94,Current Measures,British Columbia,Electricity,2036,149.951,Industrial
95,Current Measures,British Columbia,Electricity,2036,94.2795,Residential
96,Current Measures,British Columbia,Electricity,2037,79.7003,Commercial
97,Current Measures,British Columbia,Electricity,2037,151.3292,Industrial
98,Current Measures,British Columbia,Electricity,2037,95.7113,Residential
99,Current Measures,British Columbia,Electricity,2038,80.9605,Commercial
100,Current Measures,British Columbia,Electricity,2038,152.6624,Industrial
101,Current Measures,British Columbia,Electricity,2038,97.0605,Residential
102,Current Measures,British Columbia,Electricity,2039,82.1922,Commercial
103,Current Measures,British Columbia,Electricity,2039,154.0874,Industrial
104,Current Measures,British Columbia,Electricity,2039,98.3127,Residential
105,Current Measures,British Columbia,Electricity,2040,83.2678,Commercial
106,Current Measures,British Columbia,Electricity,2040,155.5042,Industrial
107,Current Measures,British Columbia,Electricity,2040,99.5287,Residential
108,Current Measures,British Columbia,Electricity,2041,84.3387,Commercial
109,Current Measures,British Columbia,Electricity,2041,156.7388,Industrial
110,Current Measures,British Columbia,Electricity,2041,100.7474,Residential
111,Current Measures,British Columbia,Electricity,2042,85.3612,Commercial
112,Current Measures,British Columbia,Electricity,2042,157.9596,Industrial
113,Current Measures,British Columbia,Electricity,2042,101.9388,Residential
114,Current Measures,British Columbia,Electricity,2043,86.3667,Commercial
115,Current Measures,British Columbia,Electricity,2043,159.128,Industrial
116,Current Measures,British Columbia,Electricity,2043,103.1183,Residential
117,Current Measures,British Columbia,Electricity,2044,87.3367,Commercial
118,Current Measures,British Columbia,Electricity,2044,160.2818,Industrial
119,Current Measures,British Columbia,Electricity,2044,104.2847,Residential
120,Current Measures,British Columbia,Electricity,2045,88.3723,Commercial
121,Current Measures,British Columbia,Electricity,2045,161.4612,Industrial
122,Current Measures,British Columbia,Electricity,2045,105.4558,Residential
123,Current Measures,British Columbia,Electricity,2046,89.4964,Commercial
124,Current Measures,British Columbia,Electricity,2046,162.6366,Industrial
125,Current Measures,British Columbia,Electricity,2046,106.6395,Residential
126,Current Measures,British Columbia,Electricity,2047,90.7002,Commercial
127,Current Measures,British Columbia,Electricity,2047,163.6632,Industrial
128,Current Measures,British Columbia,Electricity,2047,107.8398,Residential
129,Current Measures,British Columbia,Electricity,2048,92.0266,Commercial
130,Current Measures,British Columbia,Electricity,2048,164.6215,Industrial
131,Current Measures,British Columbia,Electricity,2048,109.0834,Residential
132,Current Measures,British Columbia,Electricity,2049,93.3978,Commercial
133,Current Measures,British Columbia,Electricity,2049,165.6301,Industrial
134,Current Measures,British Columbia,Electricity,2049,110.3508,Residential
135,Current Measures,British Columbia,Electricity,2050,94.8876,Commercial
136,Current Measures,British Columbia,Electricity,2050,166.6246,Industrial
137,Current Measures,British Columbia,Electricity,2050,111.6477,Residential
