,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Canada,Electricity,2005,439.4295,Commercial
1,Current Measures,Canada,Electricity,2005,888.2519,Industrial
2,Current Measures,Canada,Electricity,2005,543.3706,Residential
3,Current Measures,Canada,Electricity,2006,430.9929,Commercial
4,Current Measures,Canada,Electricity,2006,890.1628,Industrial
5,Current Measures,Canada,Electricity,2006,530.6353,Residential
6,Current Measures,Canada,Electricity,2007,439.8843,Commercial
7,Current Measures,Canada,Electricity,2007,877.6483,Industrial
8,Current Measures,Canada,Electricity,2007,557.9488,Residential
9,Current Measures,Canada,Electricity,2008,455.3176,Commercial
10,Current Measures,Canada,Electricity,2008,860.8022,Industrial
11,Current Measures,Canada,Electricity,2008,562.9284,Residential
12,Current Measures,Canada,Electricity,2009,444.8311,Commercial
13,Current Measures,Canada,Electricity,2009,797.24,Industrial
14,Current Measures,Canada,Electricity,2009,577.7436,Residential
15,Current Measures,Canada,Electricity,2010,454.4379,Commercial
16,Current Measures,Canada,Electricity,2010,807.8482,Industrial
17,Current Measures,Canada,Electricity,2010,574.1781,Residential
18,Current Measures,Canada,Electricity,2011,469.5017,Commercial
19,Current Measures,Canada,Electricity,2011,815.1519,Industrial
20,Current Measures,Canada,Electricity,2011,591.3092,Residential
21,Current Measures,Canada,Electricity,2012,463.4657,Commercial
22,Current Measures,Canada,Electricity,2012,807.2302,Industrial
23,Current Measures,Canada,Electricity,2012,589.2934,Residential
24,Current Measures,Canada,Electricity,2013,480.9953,Commercial
25,Current Measures,Canada,Electricity,2013,805.8939,Industrial
26,Current Measures,Canada,Electricity,2013,611.2953,Residential
27,Current Measures,Canada,Electricity,2014,499.5601,Commercial
28,Current Measures,Canada,Electricity,2014,805.1263,Industrial
29,Current Measures,Canada,Electricity,2014,626.904,Residential
30,Current Measures,Canada,Electricity,2015,501.531,Commercial
31,Current Measures,Canada,Electricity,2015,811.0856,Industrial
32,Current Measures,Canada,Electricity,2015,613.2376,Residential
33,Current Measures,Canada,Electricity,2016,498.3921,Commercial
34,Current Measures,Canada,Electricity,2016,833.8765,Industrial
35,Current Measures,Canada,Electricity,2016,598.4856,Residential
36,Current Measures,Canada,Electricity,2017,524.8986,Commercial
37,Current Measures,Canada,Electricity,2017,827.1178,Industrial
38,Current Measures,Canada,Electricity,2017,603.0977,Residential
39,Current Measures,Canada,Electricity,2018,544.3823,Commercial
40,Current Measures,Canada,Electricity,2018,848.0879,Industrial
41,Current Measures,Canada,Electricity,2018,620.1569,Residential
42,Current Measures,Canada,Electricity,2019,542.7084,Commercial
43,Current Measures,Canada,Electricity,2019,857.6915,Industrial
44,Current Measures,Canada,Electricity,2019,617.8748,Residential
45,Current Measures,Canada,Electricity,2020,521.367,Commercial
46,Current Measures,Canada,Electricity,2020,828.6516,Industrial
47,Current Measures,Canada,Electricity,2020,636.724,Residential
48,Current Measures,Canada,Electricity,2021,525.0753,Commercial
49,Current Measures,Canada,Electricity,2021,823.6182,Industrial
50,Current Measures,Canada,Electricity,2021,614.6427,Residential
51,Current Measures,Canada,Electricity,2022,554.923,Commercial
52,Current Measures,Canada,Electricity,2022,865.6981,Industrial
53,Current Measures,Canada,Electricity,2022,653.4411,Residential
54,Current Measures,Canada,Electricity,2023,567.4908,Commercial
55,Current Measures,Canada,Electricity,2023,889.0419,Industrial
56,Current Measures,Canada,Electricity,2023,672.9146,Residential
57,Current Measures,Canada,Electricity,2024,576.0908,Commercial
58,Current Measures,Canada,Electricity,2024,911.2681,Industrial
59,Current Measures,Canada,Electricity,2024,684.5348,Residential
60,Current Measures,Canada,Electricity,2025,583.9431,Commercial
61,Current Measures,Canada,Electricity,2025,930.5838,Industrial
62,Current Measures,Canada,Electricity,2025,695.6654,Residential
63,Current Measures,Canada,Electricity,2026,593.3068,Commercial
64,Current Measures,Canada,Electricity,2026,950.7714,Industrial
65,Current Measures,Canada,Electricity,2026,705.8253,Residential
66,Current Measures,Canada,Electricity,2027,604.2606,Commercial
67,Current Measures,Canada,Electricity,2027,972.0471,Industrial
68,Current Measures,Canada,Electricity,2027,715.4235,Residential
69,Current Measures,Canada,Electricity,2028,614.6208,Commercial
70,Current Measures,Canada,Electricity,2028,989.6446,Industrial
71,Current Measures,Canada,Electricity,2028,725.0229,Residential
72,Current Measures,Canada,Electricity,2029,624.572,Commercial
73,Current Measures,Canada,Electricity,2029,1017.6077,Industrial
74,Current Measures,Canada,Electricity,2029,734.3209,Residential
75,Current Measures,Canada,Electricity,2030,633.6528,Commercial
76,Current Measures,Canada,Electricity,2030,1040.2674,Industrial
77,Current Measures,Canada,Electricity,2030,743.1832,Residential
78,Current Measures,Canada,Electricity,2031,642.7915,Commercial
79,Current Measures,Canada,Electricity,2031,1064.8662,Industrial
80,Current Measures,Canada,Electricity,2031,752.1577,Residential
81,Current Measures,Canada,Electricity,2032,651.881,Commercial
82,Current Measures,Canada,Electricity,2032,1086.454,Industrial
83,Current Measures,Canada,Electricity,2032,761.3047,Residential
84,Current Measures,Canada,Electricity,2033,660.6676,Commercial
85,Current Measures,Canada,Electricity,2033,1108.3111,Industrial
86,Current Measures,Canada,Electricity,2033,770.4188,Residential
87,Current Measures,Canada,Electricity,2034,669.3065,Commercial
88,Current Measures,Canada,Electricity,2034,1125.6538,Industrial
89,Current Measures,Canada,Electricity,2034,779.3809,Residential
90,Current Measures,Canada,Electricity,2035,677.8198,Commercial
91,Current Measures,Canada,Electricity,2035,1141.416,Industrial
92,Current Measures,Canada,Electricity,2035,788.0577,Residential
93,Current Measures,Canada,Electricity,2036,686.4506,Commercial
94,Current Measures,Canada,Electricity,2036,1156.1469,Industrial
95,Current Measures,Canada,Electricity,2036,796.4061,Residential
96,Current Measures,Canada,Electricity,2037,695.4494,Commercial
97,Current Measures,Canada,Electricity,2037,1171.3327,Industrial
98,Current Measures,Canada,Electricity,2037,804.4478,Residential
99,Current Measures,Canada,Electricity,2038,704.7347,Commercial
100,Current Measures,Canada,Electricity,2038,1185.5084,Industrial
101,Current Measures,Canada,Electricity,2038,812.0872,Residential
102,Current Measures,Canada,Electricity,2039,713.9957,Commercial
103,Current Measures,Canada,Electricity,2039,1199.5369,Industrial
104,Current Measures,Canada,Electricity,2039,819.289,Residential
105,Current Measures,Canada,Electricity,2040,723.4678,Commercial
106,Current Measures,Canada,Electricity,2040,1213.6388,Industrial
107,Current Measures,Canada,Electricity,2040,826.1636,Residential
108,Current Measures,Canada,Electricity,2041,732.8631,Commercial
109,Current Measures,Canada,Electricity,2041,1225.5541,Industrial
110,Current Measures,Canada,Electricity,2041,832.7283,Residential
111,Current Measures,Canada,Electricity,2042,742.0382,Commercial
112,Current Measures,Canada,Electricity,2042,1236.4013,Industrial
113,Current Measures,Canada,Electricity,2042,838.8329,Residential
114,Current Measures,Canada,Electricity,2043,750.9268,Commercial
115,Current Measures,Canada,Electricity,2043,1246.4649,Industrial
116,Current Measures,Canada,Electricity,2043,844.5299,Residential
117,Current Measures,Canada,Electricity,2044,759.6768,Commercial
118,Current Measures,Canada,Electricity,2044,1256.5153,Industrial
119,Current Measures,Canada,Electricity,2044,849.8652,Residential
120,Current Measures,Canada,Electricity,2045,768.9077,Commercial
121,Current Measures,Canada,Electricity,2045,1265.9098,Industrial
122,Current Measures,Canada,Electricity,2045,854.9588,Residential
123,Current Measures,Canada,Electricity,2046,778.5392,Commercial
124,Current Measures,Canada,Electricity,2046,1275.587,Industrial
125,Current Measures,Canada,Electricity,2046,859.717,Residential
126,Current Measures,Canada,Electricity,2047,788.082,Commercial
127,Current Measures,Canada,Electricity,2047,1284.0953,Industrial
128,Current Measures,Canada,Electricity,2047,864.3319,Residential
129,Current Measures,Canada,Electricity,2048,798.0085,Commercial
130,Current Measures,Canada,Electricity,2048,1291.8726,Industrial
131,Current Measures,Canada,Electricity,2048,869.0483,Residential
132,Current Measures,Canada,Electricity,2049,808.1376,Commercial
133,Current Measures,Canada,Electricity,2049,1300.4264,Industrial
134,Current Measures,Canada,Electricity,2049,873.6554,Residential
135,Current Measures,Canada,Electricity,2050,818.2018,Commercial
136,Current Measures,Canada,Electricity,2050,1308.5675,Industrial
137,Current Measures,Canada,Electricity,2050,878.1377,Residential
