,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Manitoba,Electricity,2005,20.543,Commercial
1,Current Measures,Manitoba,Electricity,2005,30.1568,Industrial
2,Current Measures,Manitoba,Electricity,2005,22.45,Residential
3,Current Measures,Manitoba,Electricity,2006,19.7609,Commercial
4,Current Measures,Manitoba,Electricity,2006,27.4098,Industrial
5,Current Measures,Manitoba,Electricity,2006,20.356,Residential
6,Current Measures,Manitoba,Electricity,2007,19.0871,Commercial
7,Current Measures,Manitoba,Electricity,2007,25.5528,Industrial
8,Current Measures,Manitoba,Electricity,2007,26.725,Residential
9,Current Measures,Manitoba,Electricity,2008,19.02,Commercial
10,Current Measures,Manitoba,Electricity,2008,26.4339,Industrial
11,Current Measures,Manitoba,Electricity,2008,27.596,Residential
12,Current Measures,Manitoba,Electricity,2009,19.4652,Commercial
13,Current Measures,Manitoba,Electricity,2009,24.2662,Industrial
14,Current Measures,Manitoba,Electricity,2009,28.467,Residential
15,Current Measures,Manitoba,Electricity,2010,18.489,Commercial
16,Current Measures,Manitoba,Electricity,2010,24.4035,Industrial
17,Current Measures,Manitoba,Electricity,2010,27.494,Residential
18,Current Measures,Manitoba,Electricity,2011,19.484,Commercial
19,Current Measures,Manitoba,Electricity,2011,24.3498,Industrial
20,Current Measures,Manitoba,Electricity,2011,28.8321,Residential
21,Current Measures,Manitoba,Electricity,2012,18.0579,Commercial
22,Current Measures,Manitoba,Electricity,2012,29.3095,Industrial
23,Current Measures,Manitoba,Electricity,2012,28.108,Residential
24,Current Measures,Manitoba,Electricity,2013,20.801,Commercial
25,Current Measures,Manitoba,Electricity,2013,27.4687,Industrial
26,Current Measures,Manitoba,Electricity,2013,30.895,Residential
27,Current Measures,Manitoba,Electricity,2014,23.3699,Commercial
28,Current Measures,Manitoba,Electricity,2014,24.1766,Industrial
29,Current Measures,Manitoba,Electricity,2014,32.044,Residential
30,Current Measures,Manitoba,Electricity,2015,24.2699,Commercial
31,Current Measures,Manitoba,Electricity,2015,23.7841,Industrial
32,Current Measures,Manitoba,Electricity,2015,29.718,Residential
33,Current Measures,Manitoba,Electricity,2016,24.42,Commercial
34,Current Measures,Manitoba,Electricity,2016,26.1425,Industrial
35,Current Measures,Manitoba,Electricity,2016,28.7491,Residential
36,Current Measures,Manitoba,Electricity,2017,25.252,Commercial
37,Current Measures,Manitoba,Electricity,2017,23.7657,Industrial
38,Current Measures,Manitoba,Electricity,2017,29.548,Residential
39,Current Measures,Manitoba,Electricity,2018,25.9759,Commercial
40,Current Measures,Manitoba,Electricity,2018,24.1999,Industrial
41,Current Measures,Manitoba,Electricity,2018,31.914,Residential
42,Current Measures,Manitoba,Electricity,2019,25.2839,Commercial
43,Current Measures,Manitoba,Electricity,2019,23.2272,Industrial
44,Current Measures,Manitoba,Electricity,2019,31.651,Residential
45,Current Measures,Manitoba,Electricity,2020,24.2842,Commercial
46,Current Measures,Manitoba,Electricity,2020,22.6615,Industrial
47,Current Measures,Manitoba,Electricity,2020,31.787,Residential
48,Current Measures,Manitoba,Electricity,2021,24.4057,Commercial
49,Current Measures,Manitoba,Electricity,2021,20.8882,Industrial
50,Current Measures,Manitoba,Electricity,2021,30.9713,Residential
51,Current Measures,Manitoba,Electricity,2022,25.7866,Commercial
52,Current Measures,Manitoba,Electricity,2022,22.5132,Industrial
53,Current Measures,Manitoba,Electricity,2022,33.0116,Residential
54,Current Measures,Manitoba,Electricity,2023,26.369,Commercial
55,Current Measures,Manitoba,Electricity,2023,23.2612,Industrial
56,Current Measures,Manitoba,Electricity,2023,34.1534,Residential
57,Current Measures,Manitoba,Electricity,2024,26.681,Commercial
58,Current Measures,Manitoba,Electricity,2024,23.9894,Industrial
59,Current Measures,Manitoba,Electricity,2024,34.9365,Residential
60,Current Measures,Manitoba,Electricity,2025,27.1012,Commercial
