,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,New Brunswick,Electricity,2005,9.9192,Commercial
1,Current Measures,New Brunswick,Electricity,2005,23.0017,Industrial
2,Current Measures,New Brunswick,Electricity,2005,19.8649,Residential
3,Current Measures,New Brunswick,Electricity,2006,7.5106,Commercial
4,Current Measures,New Brunswick,Electricity,2006,22.7318,Industrial
5,Current Measures,New Brunswick,Electricity,2006,19.374,Residential
6,Current Measures,New Brunswick,Electricity,2007,11.7443,Commercial
7,Current Measures,New Brunswick,Electricity,2007,22.5397,Industrial
8,Current Measures,New Brunswick,Electricity,2007,19.8749,Residential
9,Current Measures,New Brunswick,Electricity,2008,11.6298,Commercial
10,Current Measures,New Brunswick,Electricity,2008,17.6509,Industrial
11,Current Measures,New Brunswick,Electricity,2008,19.5971,Residential
12,Current Measures,New Brunswick,Electricity,2009,11.5496,Commercial
13,Current Measures,New Brunswick,Electricity,2009,16.3789,Industrial
14,Current Measures,New Brunswick,Electricity,2009,19.997,Residential
15,Current Measures,New Brunswick,Electricity,2010,10.0371,Commercial
16,Current Measures,New Brunswick,Electricity,2010,18.3756,Industrial
17,Current Measures,New Brunswick,Electricity,2010,18.7299,Residential
18,Current Measures,New Brunswick,Electricity,2011,11.8444,Commercial
19,Current Measures,New Brunswick,Electricity,2011,14.9427,Industrial
20,Current Measures,New Brunswick,Electricity,2011,19.561,Residential
21,Current Measures,New Brunswick,Electricity,2012,11.5015,Commercial
22,Current Measures,New Brunswick,Electricity,2012,15.4051,Industrial
23,Current Measures,New Brunswick,Electricity,2012,19.266,Residential
24,Current Measures,New Brunswick,Electricity,2013,10.2143,Commercial
25,Current Measures,New Brunswick,Electricity,2013,14.0462,Industrial
26,Current Measures,New Brunswick,Electricity,2013,20.597,Residential
27,Current Measures,New Brunswick,Electricity,2014,11.301,Commercial
28,Current Measures,New Brunswick,Electricity,2014,13.2639,Industrial
29,Current Measures,New Brunswick,Electricity,2014,21.862,Residential
30,Current Measures,New Brunswick,Electricity,2015,10.7449,Commercial
31,Current Measures,New Brunswick,Electricity,2015,16.4445,Industrial
32,Current Measures,New Brunswick,Electricity,2015,21.169,Residential
33,Current Measures,New Brunswick,Electricity,2016,10.7171,Commercial
34,Current Measures,New Brunswick,Electricity,2016,16.7902,Industrial
35,Current Measures,New Brunswick,Electricity,2016,20.195,Residential
36,Current Measures,New Brunswick,Electricity,2017,10.846,Commercial
37,Current Measures,New Brunswick,Electricity,2017,18.0986,Industrial
