,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Newfoundland and Labrador,Electricity,2005,7.7181,Commercial
1,Current Measures,Newfoundland and Labrador,Electricity,2005,15.6767,Industrial
2,Current Measures,Newfoundland and Labrador,Electricity,2005,12.1709,Residential
3,Current Measures,Newfoundland and Labrador,Electricity,2006,7.5478,Commercial
4,Current Measures,Newfoundland and Labrador,Electricity,2006,14.8917,Industrial
5,Current Measures,Newfoundland and Labrador,Electricity,2006,11.993,Residential
6,Current Measures,Newfoundland and Labrador,Electricity,2007,8.0232,Commercial
7,Current Measures,Newfoundland and Labrador,Electricity,2007,14.6369,Industrial
8,Current Measures,Newfoundland and Labrador,Electricity,2007,12.755,Residential
9,Current Measures,Newfoundland and Labrador,Electricity,2008,8.092,Commercial
10,Current Measures,Newfoundland and Labrador,Electricity,2008,15.6829,Industrial
11,Current Measures,Newfoundland and Labrador,Electricity,2008,12.928,Residential
12,Current Measures,Newfoundland and Labrador,Electricity,2009,7.9597,Commercial
13,Current Measures,Newfoundland and Labrador,Electricity,2009,13.0214,Industrial
14,Current Measures,Newfoundland and Labrador,Electricity,2009,13.38,Residential
15,Current Measures,Newfoundland and Labrador,Electricity,2010,7.952,Commercial
16,Current Measures,Newfoundland and Labrador,Electricity,2010,14.9935,Industrial
17,Current Measures,Newfoundland and Labrador,Electricity,2010,13.213,Residential
18,Current Measures,Newfoundland and Labrador,Electricity,2011,8.2323,Commercial
19,Current Measures,Newfoundland and Labrador,Electricity,2011,13.9732,Industrial
20,Current Measures,Newfoundland and Labrador,Electricity,2011,13.949,Residential
21,Current Measures,Newfoundland and Labrador,Electricity,2012,8.3572,Commercial
22,Current Measures,Newfoundland and Labrador,Electricity,2012,14.1052,Industrial
23,Current Measures,Newfoundland and Labrador,Electricity,2012,13.8739,Residential
24,Current Measures,Newfoundland and Labrador,Electricity,2013,8.4992,Commercial
25,Current Measures,Newfoundland and Labrador,Electricity,2013,14.7421,Industrial
26,Current Measures,Newfoundland and Labrador,Electricity,2013,14.512,Residential
27,Current Measures,Newfoundland and Labrador,Electricity,2014,8.9118,Commercial
28,Current Measures,Newfoundland and Labrador,Electricity,2014,13.4696,Industrial
29,Current Measures,Newfoundland and Labrador,Electricity,2014,14.6619,Residential
30,Current Measures,Newfoundland and Labrador,Electricity,2015,9.0121,Commercial
31,Current Measures,Newfoundland and Labrador,Electricity,2015,11.9076,Industrial
32,Current Measures,Newfoundland and Labrador,Electricity,2015,15.714,Residential
33,Current Measures,Newfoundland and Labrador,Electricity,2016,8.8479,Commercial
34,Current Measures,Newfoundland and Labrador,Electricity,2016,11.8743,Industrial
35,Current Measures,Newfoundland and Labrador,Electricity,2016,15.514,Residential
36,Current Measures,Newfoundland and Labrador,Electricity,2017,9.23,Commercial
37,Current Measures,Newfoundland and Labrador,Electricity,2017,12.9966,Industrial
38,Current Measures,Newfoundland and Labrador,Electricity,2017,15.418,Residential
39,Current Measures,Newfoundland and Labrador,Electricity,2018,9.1159,Commercial
40,Current Measures,Newfoundland and Labrador,Electricity,2018,13.1751,Industrial
41,Current Measures,Newfoundland and Labrador,Electricity,2018,15.349,Residential
42,Current Measures,Newfoundland and Labrador,Electricity,2019,9.2282,Commercial
43,Current Measures,Newfoundland and Labrador,Electricity,2019,13.1136,Industrial
44,Current Measures,Newfoundland and Labrador,Electricity,2019,15.263,Residential
45,Current Measures,Newfoundland and Labrador,Electricity,2020,8.8297,Commercial
46,Current Measures,Newfoundland and Labrador,Electricity,2020,12.7755,Industrial
47,Current Measures,Newfoundland and Labrador,Electricity,2020,15.1,Residential
48,Current Measures,Newfoundland and Labrador,Electricity,2021,8.7861,Commercial
49,Current Measures,Newfoundland and Labrador,Electricity,2021,14.8071,Industrial
50,Current Measures,Newfoundland and Labrador,Electricity,2021,14.8682,Residential
51,Current Measures,Newfoundland and Labrador,Electricity,2022,9.2239,Commercial
52,Current Measures,Newfoundland and Labrador,Electricity,2022,16.1335,Industrial
53,Current Measures,Newfoundland and Labrador,Electricity,2022,15.812,Residential
54,Current Measures,Newfoundland and Labrador,Electricity,2023,9.411,Commercial
55,Current Measures,Newfoundland and Labrador,Electricity,2023,16.9481,Industrial
56,Current Measures,Newfoundland and Labrador,Electricity,2023,16.2514,Residential
57,Current Measures,Newfoundland and Labrador,Electricity,2024,9.4077,Commercial
58,Current Measures,Newfoundland and Labrador,Electricity,2024,18.0235,Industrial
59,Current Measures,Newfoundland and Labrador,Electricity,2024,16.4483,Residential
60,Current Measures,Newfoundland and Labrador,Electricity,2025,9.4443,Commercial
61,Current Measures,Newfoundland and Labrador,Electricity,2025,18.1896,Industrial
62,Current Measures,Newfoundland and Labrador,Electricity,2025,16.5956,Residential
63,Current Measures,Newfoundland and Labrador,Electricity,2026,9.4788,Commercial
64,Current Measures,Newfoundland and Labrador,Electricity,2026,18.25,Industrial
65,Current Measures,Newfoundland and Labrador,Electricity,2026,16.7071,Residential
66,Current Measures,Newfoundland and Labrador,Electricity,2027,9.558,Commercial
67,Current Measures,Newfoundland and Labrador,Electricity,2027,18.3691,Industrial
68,Current Measures,Newfoundland and Labrador,Electricity,2027,16.7811,Residential
69,Current Measures,Newfoundland and Labrador,Electricity,2028,9.5942,Commercial
70,Current Measures,Newfoundland and Labrador,Electricity,2028,18.4898,Industrial
71,Current Measures,Newfoundland and Labrador,Electricity,2028,16.8539,Residential
72,Current Measures,Newfoundland and Labrador,Electricity,2029,9.633,Commercial
73,Current Measures,Newfoundland and Labrador,Electricity,2029,18.6338,Industrial
74,Current Measures,Newfoundland and Labrador,Electricity,2029,16.9368,Residential
75,Current Measures,Newfoundland and Labrador,Electricity,2030,9.6955,Commercial
76,Current Measures,Newfoundland and Labrador,Electricity,2030,18.693,Industrial
77,Current Measures,Newfoundland and Labrador,Electricity,2030,17.0072,Residential
78,Current Measures,Newfoundland and Labrador,Electricity,2031,9.7108,Commercial
79,Current Measures,Newfoundland and Labrador,Electricity,2031,18.7299,Industrial
80,Current Measures,Newfoundland and Labrador,Electricity,2031,17.0787,Residential
81,Current Measures,Newfoundland and Labrador,Electricity,2032,9.7286,Commercial
82,Current Measures,Newfoundland and Labrador,Electricity,2032,18.7552,Industrial
83,Current Measures,Newfoundland and Labrador,Electricity,2032,17.1544,Residential
84,Current Measures,Newfoundland and Labrador,Electricity,2033,9.7122,Commercial
85,Current Measures,Newfoundland and Labrador,Electricity,2033,18.8047,Industrial
86,Current Measures,Newfoundland and Labrador,Electricity,2033,17.2049,Residential
87,Current Measures,Newfoundland and Labrador,Electricity,2034,9.7432,Commercial
88,Current Measures,Newfoundland and Labrador,Electricity,2034,18.8666,Industrial
89,Current Measures,Newfoundland and Labrador,Electricity,2034,17.2375,Residential
90,Current Measures,Newfoundland and Labrador,Electricity,2035,9.7353,Commercial
91,Current Measures,Newfoundland and Labrador,Electricity,2035,18.9719,Industrial
92,Current Measures,Newfoundland and Labrador,Electricity,2035,17.2613,Residential
93,Current Measures,Newfoundland and Labrador,Electricity,2036,9.7747,Commercial
94,Current Measures,Newfoundland and Labrador,Electricity,2036,19.0774,Industrial
95,Current Measures,Newfoundland and Labrador,Electricity,2036,17.3038,Residential
96,Current Measures,Newfoundland and Labrador,Electricity,2037,9.7757,Commercial
97,Current Measures,Newfoundland and Labrador,Electricity,2037,19.1957,Industrial
98,Current Measures,Newfoundland and Labrador,Electricity,2037,17.3494,Residential
99,Current Measures,Newfoundland and Labrador,Electricity,2038,9.8235,Commercial
100,Current Measures,Newfoundland and Labrador,Electricity,2038,19.3027,Industrial
101,Current Measures,Newfoundland and Labrador,Electricity,2038,17.3876,Residential
102,Current Measures,Newfoundland and Labrador,Electricity,2039,9.8286,Commercial
103,Current Measures,Newfoundland and Labrador,Electricity,2039,19.3888,Industrial
104,Current Measures,Newfoundland and Labrador,Electricity,2039,17.4025,Residential
105,Current Measures,Newfoundland and Labrador,Electricity,2040,9.8797,Commercial
106,Current Measures,Newfoundland and Labrador,Electricity,2040,19.4772,Industrial
107,Current Measures,Newfoundland and Labrador,Electricity,2040,17.4096,Residential
108,Current Measures,Newfoundland and Labrador,Electricity,2041,9.8914,Commercial
109,Current Measures,Newfoundland and Labrador,Electricity,2041,19.5585,Industrial
110,Current Measures,Newfoundland and Labrador,Electricity,2041,17.4055,Residential
111,Current Measures,Newfoundland and Labrador,Electricity,2042,9.9068,Commercial
112,Current Measures,Newfoundland and Labrador,Electricity,2042,19.6491,Industrial
113,Current Measures,Newfoundland and Labrador,Electricity,2042,17.3868,Residential
114,Current Measures,Newfoundland and Labrador,Electricity,2043,9.924,Commercial
115,Current Measures,Newfoundland and Labrador,Electricity,2043,19.7485,Industrial
116,Current Measures,Newfoundland and Labrador,Electricity,2043,17.3634,Residential
117,Current Measures,Newfoundland and Labrador,Electricity,2044,9.9459,Commercial
118,Current Measures,Newfoundland and Labrador,Electricity,2044,19.8606,Industrial
119,Current Measures,Newfoundland and Labrador,Electricity,2044,17.3326,Residential
120,Current Measures,Newfoundland and Labrador,Electricity,2045,10.0135,Commercial
121,Current Measures,Newfoundland and Labrador,Electricity,2045,20.006,Industrial
122,Current Measures,Newfoundland and Labrador,Electricity,2045,17.2991,Residential
123,Current Measures,Newfoundland and Labrador,Electricity,2046,10.0404,Commercial
124,Current Measures,Newfoundland and Labrador,Electricity,2046,20.1683,Industrial
125,Current Measures,Newfoundland and Labrador,Electricity,2046,17.2666,Residential
126,Current Measures,Newfoundland and Labrador,Electricity,2047,10.0686,Commercial
127,Current Measures,Newfoundland and Labrador,Electricity,2047,20.3266,Industrial
128,Current Measures,Newfoundland and Labrador,Electricity,2047,17.2361,Residential
129,Current Measures,Newfoundland and Labrador,Electricity,2048,10.1417,Commercial
130,Current Measures,Newfoundland and Labrador,Electricity,2048,20.488,Industrial
131,Current Measures,Newfoundland and Labrador,Electricity,2048,17.1934,Residential
132,Current Measures,Newfoundland and Labrador,Electricity,2049,10.2166,Commercial
133,Current Measures,Newfoundland and Labrador,Electricity,2049,20.6573,Industrial
134,Current Measures,Newfoundland and Labrador,Electricity,2049,17.1836,Residential
135,Current Measures,Newfoundland and Labrador,Electricity,2050,10.2492,Commercial
136,Current Measures,Newfoundland and Labrador,Electricity,2050,20.8415,Industrial
137,Current Measures,Newfoundland and Labrador,Electricity,2050,17.1605,Residential
