,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Northwest Territories,Electricity,2005,0.6339,Commercial
1,Current Measures,Northwest Territories,Electricity,2005,0.0777,Industrial
2,Current Measures,Northwest Territories,Electricity,2005,0.408,Residential
3,Current Measures,Northwest Territories,Electricity,2006,0.6561,Commercial
4,Current Measures,Northwest Territories,Electricity,2006,0.0708,Industrial
5,Current Measures,Northwest Territories,Electricity,2006,0.4,Residential
6,Current Measures,Northwest Territories,Electricity,2007,0.6731,Commercial
7,Current Measures,Northwest Territories,Electricity,2007,0.025,Industrial
8,Current Measures,Northwest Territories,Electricity,2007,0.413,Residential
9,Current Measures,Northwest Territories,Electricity,2008,0.675,Commercial
10,Current Measures,Northwest Territories,Electricity,2008,0.0239,Industrial
11,Current Measures,Northwest Territories,Electricity,2008,0.4199,Residential
12,Current Measures,Northwest Territories,Electricity,2009,0.706,Commercial
13,Current Measures,Northwest Territories,Electricity,2009,0.0238,Industrial
14,Current Measures,Northwest Territories,Electricity,2009,0.435,Residential
15,Current Measures,Northwest Territories,Electricity,2010,0.672,Commercial
16,Current Measures,Northwest Territories,Electricity,2010,0.0241,Industrial
17,Current Measures,Northwest Territories,Electricity,2010,0.407,Residential
18,Current Measures,Northwest Territories,Electricity,2011,0.6748,Commercial
19,Current Measures,Northwest Territories,Electricity,2011,0.0247,Industrial
20,Current Measures,Northwest Territories,Electricity,2011,0.414,Residential
21,Current Measures,Northwest Territories,Electricity,2012,0.668,Commercial
22,Current Measures,Northwest Territories,Electricity,2012,0.0371,Industrial
23,Current Measures,Northwest Territories,Electricity,2012,0.408,Residential
24,Current Measures,Northwest Territories,Electricity,2013,0.6702,Commercial
25,Current Measures,Northwest Territories,Electricity,2013,0.0324,Industrial
26,Current Measures,Northwest Territories,Electricity,2013,0.412,Residential
27,Current Measures,Northwest Territories,Electricity,2014,0.6721,Commercial
28,Current Measures,Northwest Territories,Electricity,2014,0.0346,Industrial
29,Current Measures,Northwest Territories,Electricity,2014,0.416,Residential
30,Current Measures,Northwest Territories,Electricity,2015,0.6758,Commercial
31,Current Measures,Northwest Territories,Electricity,2015,0.0299,Industrial
32,Current Measures,Northwest Territories,Electricity,2015,0.397,Residential
33,Current Measures,Northwest Territories,Electricity,2016,0.7501,Commercial
34,Current Measures,Northwest Territories,Electricity,2016,0.0262,Industrial
35,Current Measures,Northwest Territories,Electricity,2016,0.4369,Residential
36,Current Measures,Northwest Territories,Electricity,2017,0.671,Commercial
37,Current Measures,Northwest Territories,Electricity,2017,0.0222,Industrial
38,Current Measures,Northwest Territories,Electricity,2017,0.386,Residential
39,Current Measures,Northwest Territories,Electricity,2018,0.685,Commercial
40,Current Measures,Northwest Territories,Electricity,2018,0.0262,Industrial
41,Current Measures,Northwest Territories,Electricity,2018,0.39,Residential
42,Current Measures,Northwest Territories,Electricity,2019,0.6881,Commercial
43,Current Measures,Northwest Territories,Electricity,2019,0.0272,Industrial
44,Current Measures,Northwest Territories,Electricity,2019,0.386,Residential
45,Current Measures,Northwest Territories,Electricity,2020,0.6446,Commercial
46,Current Measures,Northwest Territories,Electricity,2020,0.0272,Industrial
47,Current Measures,Northwest Territories,Electricity,2020,0.411,Residential
48,Current Measures,Northwest Territories,Electricity,2021,0.6761,Commercial
49,Current Measures,Northwest Territories,Electricity,2021,0.0243,Industrial
50,Current Measures,Northwest Territories,Electricity,2021,0.3644,Residential
51,Current Measures,Northwest Territories,Electricity,2022,0.7072,Commercial
52,Current Measures,Northwest Territories,Electricity,2022,0.0255,Industrial
53,Current Measures,Northwest Territories,Electricity,2022,0.3805,Residential
54,Current Measures,Northwest Territories,Electricity,2023,0.7101,Commercial
55,Current Measures,Northwest Territories,Electricity,2023,0.0265,Industrial
56,Current Measures,Northwest Territories,Electricity,2023,0.3852,Residential
57,Current Measures,Northwest Territories,Electricity,2024,0.7112,Commercial
58,Current Measures,Northwest Territories,Electricity,2024,0.0274,Industrial
59,Current Measures,Northwest Territories,Electricity,2024,0.3867,Residential
60,Current Measures,Northwest Territories,Electricity,2025,0.716,Commercial
61,Current Measures,Northwest Territories,Electricity,2025,0.0295,Industrial
62,Current Measures,Northwest Territories,Electricity,2025,0.3881,Residential
63,Current Measures,Northwest Territories,Electricity,2026,0.7255,Commercial
64,Current Measures,Northwest Territories,Electricity,2026,0.0315,Industrial
65,Current Measures,Northwest Territories,Electricity,2026,0.3899,Residential
66,Current Measures,Northwest Territories,Electricity,2027,0.727,Commercial
67,Current Measures,Northwest Territories,Electricity,2027,0.0336,Industrial
68,Current Measures,Northwest Territories,Electricity,2027,0.3901,Residential
69,Current Measures,Northwest Territories,Electricity,2028,0.727,Commercial
70,Current Measures,Northwest Territories,Electricity,2028,0.0358,Industrial
71,Current Measures,Northwest Territories,Electricity,2028,0.3908,Residential
72,Current Measures,Northwest Territories,Electricity,2029,0.7257,Commercial
73,Current Measures,Northwest Territories,Electricity,2029,0.0381,Industrial
74,Current Measures,Northwest Territories,Electricity,2029,0.3916,Residential
75,Current Measures,Northwest Territories,Electricity,2030,0.7233,Commercial
