,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Nova Scotia,Electricity,2005,11.5494,Commercial
1,Current Measures,Nova Scotia,Electricity,2005,16.1494,Industrial
2,Current Measures,Nova Scotia,Electricity,2005,14.86,Residential
3,Current Measures,Nova Scotia,Electricity,2006,11.3906,Commercial
4,Current Measures,Nova Scotia,Electricity,2006,10.8892,Industrial
5,Current Measures,Nova Scotia,Electricity,2006,14.441,Residential
6,Current Measures,Nova Scotia,Electricity,2007,12.1474,Commercial
7,Current Measures,Nova Scotia,Electricity,2007,15.4456,Industrial
8,Current Measures,Nova Scotia,Electricity,2007,14.9809,Residential
9,Current Measures,Nova Scotia,Electricity,2008,12.182,Commercial
10,Current Measures,Nova Scotia,Electricity,2008,15.0157,Industrial
11,Current Measures,Nova Scotia,Electricity,2008,15.151,Residential
12,Current Measures,Nova Scotia,Electricity,2009,11.9536,Commercial
13,Current Measures,Nova Scotia,Electricity,2009,14.0689,Industrial
14,Current Measures,Nova Scotia,Electricity,2009,15.2739,Residential
15,Current Measures,Nova Scotia,Electricity,2010,11.511,Commercial
16,Current Measures,Nova Scotia,Electricity,2010,15.5836,Industrial
17,Current Measures,Nova Scotia,Electricity,2010,14.992,Residential
18,Current Measures,Nova Scotia,Electricity,2011,11.2824,Commercial
19,Current Measures,Nova Scotia,Electricity,2011,13.5433,Industrial
20,Current Measures,Nova Scotia,Electricity,2011,15.435,Residential
21,Current Measures,Nova Scotia,Electricity,2012,11.9264,Commercial
22,Current Measures,Nova Scotia,Electricity,2012,13.0023,Industrial
23,Current Measures,Nova Scotia,Electricity,2012,15.126,Residential
24,Current Measures,Nova Scotia,Electricity,2013,9.8742,Commercial
25,Current Measures,Nova Scotia,Electricity,2013,11.8502,Industrial
26,Current Measures,Nova Scotia,Electricity,2013,15.8589,Residential
27,Current Measures,Nova Scotia,Electricity,2014,11.887,Commercial
28,Current Measures,Nova Scotia,Electricity,2014,8.9293,Industrial
29,Current Measures,Nova Scotia,Electricity,2014,15.759,Residential
30,Current Measures,Nova Scotia,Electricity,2015,12.006,Commercial
31,Current Measures,Nova Scotia,Electricity,2015,8.2303,Industrial
32,Current Measures,Nova Scotia,Electricity,2015,15.831,Residential
33,Current Measures,Nova Scotia,Electricity,2016,12.9551,Commercial
34,Current Measures,Nova Scotia,Electricity,2016,8.1589,Industrial
35,Current Measures,Nova Scotia,Electricity,2016,15.867,Residential
36,Current Measures,Nova Scotia,Electricity,2017,12.2319,Commercial
37,Current Measures,Nova Scotia,Electricity,2017,9.2341,Industrial
38,Current Measures,Nova Scotia,Electricity,2017,16.414,Residential
39,Current Measures,Nova Scotia,Electricity,2018,12.7379,Commercial
40,Current Measures,Nova Scotia,Electricity,2018,9.233,Industrial
41,Current Measures,Nova Scotia,Electricity,2018,16.92,Residential
42,Current Measures,Nova Scotia,Electricity,2019,12.8792,Commercial
43,Current Measures,Nova Scotia,Electricity,2019,8.1409,Industrial
44,Current Measures,Nova Scotia,Electricity,2019,17.069,Residential
45,Current Measures,Nova Scotia,Electricity,2020,12.304,Commercial
46,Current Measures,Nova Scotia,Electricity,2020,7.0866,Industrial
47,Current Measures,Nova Scotia,Electricity,2020,17.183,Residential
48,Current Measures,Nova Scotia,Electricity,2023,13.6916,Commercial
49,Current Measures,Nova Scotia,Electricity,2023,7.9495,Industrial
50,Current Measures,Nova Scotia,Electricity,2023,18.9332,Residential
51,Current Measures,Nova Scotia,Electricity,2024,13.947,Commercial
52,Current Measures,Nova Scotia,Electricity,2024,8.1707,Industrial
53,Current Measures,Nova Scotia,Electricity,2024,19.3785,Residential
54,Current Measures,Nova Scotia,Electricity,2025,14.2566,Commercial
55,Current Measures,Nova Scotia,Electricity,2025,8.3377,Industrial
56,Current Measures,Nova Scotia,Electricity,2025,19.7664,Residential
57,Current Measures,Nova Scotia,Electricity,2026,14.608,Commercial
58,Current Measures,Nova Scotia,Electricity,2026,8.4568,Industrial
59,Current Measures,Nova Scotia,Electricity,2026,20.0966,Residential
60,Current Measures,Nova Scotia,Electricity,2027,14.9527,Commercial
61,Current Measures,Nova Scotia,Electricity,2027,8.5934,Industrial
62,Current Measures,Nova Scotia,Electricity,2027,20.3777,Residential
63,Current Measures,Nova Scotia,Electricity,2028,15.2913,Commercial
64,Current Measures,Nova Scotia,Electricity,2028,8.8536,Industrial
65,Current Measures,Nova Scotia,Electricity,2028,20.649,Residential
66,Current Measures,Nova Scotia,Electricity,2029,15.5767,Commercial
67,Current Measures,Nova Scotia,Electricity,2029,9.052,Industrial
68,Current Measures,Nova Scotia,Electricity,2029,20.8978,Residential
69,Current Measures,Nova Scotia,Electricity,2030,15.7604,Commercial
70,Current Measures,Nova Scotia,Electricity,2030,9.2248,Industrial
71,Current Measures,Nova Scotia,Electricity,2030,21.1353,Residential
72,Current Measures,Nova Scotia,Electricity,2031,15.9364,Commercial
73,Current Measures,Nova Scotia,Electricity,2031,9.3875,Industrial
74,Current Measures,Nova Scotia,Electricity,2031,21.3861,Residential
75,Current Measures,Nova Scotia,Electricity,2032,16.1161,Commercial
76,Current Measures,Nova Scotia,Electricity,2032,9.5106,Industrial
77,Current Measures,Nova Scotia,Electricity,2032,21.6289,Residential
78,Current Measures,Nova Scotia,Electricity,2033,16.2904,Commercial
79,Current Measures,Nova Scotia,Electricity,2033,9.6431,Industrial
80,Current Measures,Nova Scotia,Electricity,2033,21.872,Residential
81,Current Measures,Nova Scotia,Electricity,2034,16.4705,Commercial
82,Current Measures,Nova Scotia,Electricity,2034,9.7729,Industrial
83,Current Measures,Nova Scotia,Electricity,2034,22.1002,Residential
84,Current Measures,Nova Scotia,Electricity,2035,16.6085,Commercial
85,Current Measures,Nova Scotia,Electricity,2035,9.906,Industrial
86,Current Measures,Nova Scotia,Electricity,2035,22.3037,Residential
87,Current Measures,Nova Scotia,Electricity,2036,16.7969,Commercial
88,Current Measures,Nova Scotia,Electricity,2036,10.0278,Industrial
89,Current Measures,Nova Scotia,Electricity,2036,22.4831,Residential
90,Current Measures,Nova Scotia,Electricity,2037,16.8936,Commercial
91,Current Measures,Nova Scotia,Electricity,2037,10.1529,Industrial
92,Current Measures,Nova Scotia,Electricity,2037,22.6467,Residential
93,Current Measures,Nova Scotia,Electricity,2038,17.0379,Commercial
94,Current Measures,Nova Scotia,Electricity,2038,10.2766,Industrial
95,Current Measures,Nova Scotia,Electricity,2038,22.7891,Residential
96,Current Measures,Nova Scotia,Electricity,2039,17.1359,Commercial
97,Current Measures,Nova Scotia,Electricity,2039,10.3963,Industrial
98,Current Measures,Nova Scotia,Electricity,2039,22.9094,Residential
99,Current Measures,Nova Scotia,Electricity,2040,17.1865,Commercial
100,Current Measures,Nova Scotia,Electricity,2040,10.5189,Industrial
101,Current Measures,Nova Scotia,Electricity,2040,23.0126,Residential
102,Current Measures,Nova Scotia,Electricity,2041,17.2846,Commercial
103,Current Measures,Nova Scotia,Electricity,2041,10.6327,Industrial
104,Current Measures,Nova Scotia,Electricity,2041,23.1128,Residential
105,Current Measures,Nova Scotia,Electricity,2042,17.3819,Commercial
106,Current Measures,Nova Scotia,Electricity,2042,10.7439,Industrial
107,Current Measures,Nova Scotia,Electricity,2042,23.2065,Residential
108,Current Measures,Nova Scotia,Electricity,2043,17.4322,Commercial
109,Current Measures,Nova Scotia,Electricity,2043,10.8517,Industrial
110,Current Measures,Nova Scotia,Electricity,2043,23.2842,Residential
111,Current Measures,Nova Scotia,Electricity,2044,17.4829,Commercial
112,Current Measures,Nova Scotia,Electricity,2044,10.961,Industrial
113,Current Measures,Nova Scotia,Electricity,2044,23.353,Residential
114,Current Measures,Nova Scotia,Electricity,2045,17.6689,Commercial
115,Current Measures,Nova Scotia,Electricity,2045,10.781,Industrial
116,Current Measures,Nova Scotia,Electricity,2045,23.4286,Residential
117,Current Measures,Nova Scotia,Electricity,2046,17.9473,Commercial
118,Current Measures,Nova Scotia,Electricity,2046,10.5219,Industrial
119,Current Measures,Nova Scotia,Electricity,2046,23.4855,Residential
120,Current Measures,Nova Scotia,Electricity,2047,18.0438,Commercial
121,Current Measures,Nova Scotia,Electricity,2047,10.5867,Industrial
122,Current Measures,Nova Scotia,Electricity,2047,23.5427,Residential
123,Current Measures,Nova Scotia,Electricity,2048,18.0963,Commercial
124,Current Measures,Nova Scotia,Electricity,2048,10.6778,Industrial
125,Current Measures,Nova Scotia,Electricity,2048,23.5877,Residential
126,Current Measures,Nova Scotia,Electricity,2049,18.195,Commercial
127,Current Measures,Nova Scotia,Electricity,2049,10.7772,Industrial
128,Current Measures,Nova Scotia,Electricity,2049,23.6302,Residential
129,Current Measures,Nova Scotia,Electricity,2050,18.249,Commercial
130,Current Measures,Nova Scotia,Electricity,2050,10.8826,Industrial
131,Current Measures,Nova Scotia,Electricity,2050,23.6782,Residential
132,Current Measures,Nova Scotia,Electricity,2021,12.6635,Commercial
133,Current Measures,Nova Scotia,Electricity,2021,7.4328,Industrial
134,Current Measures,Nova Scotia,Electricity,2021,16.7992,Residential
135,Current Measures,Nova Scotia,Electricity,2022,13.4232,Commercial
136,Current Measures,Nova Scotia,Electricity,2022,7.6529,Industrial
137,Current Measures,Nova Scotia,Electricity,2022,18.1964,Residential
