,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Nunavut,Electricity,2005,0.294,Commercial
1,Current Measures,Nunavut,Electricity,2005,0.204,Industrial
2,Current Measures,Nunavut,Electricity,2005,0.2131,Residential
3,Current Measures,Nunavut,Electricity,2006,0.2741,Commercial
4,Current Measures,Nunavut,Electricity,2006,0.204,Industrial
5,Current Measures,Nunavut,Electricity,2006,0.2171,Residential
6,Current Measures,Nunavut,Electricity,2007,0.2811,Commercial
7,Current Measures,Nunavut,Electricity,2007,0.204,Industrial
8,Current Measures,Nunavut,Electricity,2007,0.2231,Residential
9,Current Measures,Nunavut,Electricity,2008,0.3449,Commercial
10,Current Measures,Nunavut,Electricity,2008,0.204,Industrial
11,Current Measures,Nunavut,Electricity,2008,0.273,Residential
12,Current Measures,Nunavut,Electricity,2009,0.3059,Commercial
13,Current Measures,Nunavut,Electricity,2009,0.204,Industrial
14,Current Measures,Nunavut,Electricity,2009,0.243,Residential
15,Current Measures,Nunavut,Electricity,2010,0.3059,Commercial
16,Current Measures,Nunavut,Electricity,2010,0.204,Industrial
17,Current Measures,Nunavut,Electricity,2010,0.2431,Residential
18,Current Measures,Nunavut,Electricity,2011,0.1839,Commercial
19,Current Measures,Nunavut,Electricity,2011,0.204,Industrial
20,Current Measures,Nunavut,Electricity,2011,0.243,Residential
21,Current Measures,Nunavut,Electricity,2012,0.1839,Commercial
22,Current Measures,Nunavut,Electricity,2012,0.204,Industrial
23,Current Measures,Nunavut,Electricity,2012,0.2429,Residential
24,Current Measures,Nunavut,Electricity,2013,0.1838,Commercial
25,Current Measures,Nunavut,Electricity,2013,0.204,Industrial
26,Current Measures,Nunavut,Electricity,2013,0.2427,Residential
27,Current Measures,Nunavut,Electricity,2014,0.1841,Commercial
28,Current Measures,Nunavut,Electricity,2014,0.204,Industrial
29,Current Measures,Nunavut,Electricity,2014,0.2461,Residential
30,Current Measures,Nunavut,Electricity,2015,0.1239,Commercial
31,Current Measures,Nunavut,Electricity,2015,0.204,Industrial
32,Current Measures,Nunavut,Electricity,2015,0.241,Residential
33,Current Measures,Nunavut,Electricity,2016,0.3858,Commercial
