,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Ontario,Electricity,2005,142.1231,Commercial
1,Current Measures,Ontario,Electricity,2005,161.8193,Industrial
2,Current Measures,Ontario,Electricity,2005,164.268,Residential
3,Current Measures,Ontario,Electricity,2006,135.7579,Commercial
4,Current Measures,Ontario,Electricity,2006,182.9978,Industrial
5,Current Measures,Ontario,Electricity,2006,153.588,Residential
6,Current Measures,Ontario,Electricity,2007,129.427,Commercial
7,Current Measures,Ontario,Electricity,2007,188.8894,Industrial
8,Current Measures,Ontario,Electricity,2007,156.6599,Residential
9,Current Measures,Ontario,Electricity,2008,137.355,Commercial
10,Current Measures,Ontario,Electricity,2008,187.5317,Industrial
11,Current Measures,Ontario,Electricity,2008,155.093,Residential
12,Current Measures,Ontario,Electricity,2009,135.436,Commercial
13,Current Measures,Ontario,Electricity,2009,159.5839,Industrial
14,Current Measures,Ontario,Electricity,2009,158.724,Residential
15,Current Measures,Ontario,Electricity,2010,149.0291,Commercial
16,Current Measures,Ontario,Electricity,2010,163.9724,Industrial
17,Current Measures,Ontario,Electricity,2010,169.798,Residential
18,Current Measures,Ontario,Electricity,2011,160.0269,Commercial
19,Current Measures,Ontario,Electricity,2011,168.0128,Industrial
20,Current Measures,Ontario,Electricity,2011,167.389,Residential
21,Current Measures,Ontario,Electricity,2012,150.578,Commercial
22,Current Measures,Ontario,Electricity,2012,167.9705,Industrial
23,Current Measures,Ontario,Electricity,2012,170.0211,Residential
24,Current Measures,Ontario,Electricity,2013,163.508,Commercial
25,Current Measures,Ontario,Electricity,2013,164.0938,Industrial
26,Current Measures,Ontario,Electricity,2013,170.412,Residential
27,Current Measures,Ontario,Electricity,2014,169.849,Commercial
28,Current Measures,Ontario,Electricity,2014,155.0236,Industrial
29,Current Measures,Ontario,Electricity,2014,169.271,Residential
30,Current Measures,Ontario,Electricity,2015,170.736,Commercial
31,Current Measures,Ontario,Electricity,2015,153.83,Industrial
32,Current Measures,Ontario,Electricity,2015,171.275,Residential
33,Current Measures,Ontario,Electricity,2016,166.191,Commercial
34,Current Measures,Ontario,Electricity,2016,156.9057,Industrial
35,Current Measures,Ontario,Electricity,2016,164.424,Residential
36,Current Measures,Ontario,Electricity,2017,187.8699,Commercial
37,Current Measures,Ontario,Electricity,2017,150.2189,Industrial
38,Current Measures,Ontario,Electricity,2017,159.294,Residential
39,Current Measures,Ontario,Electricity,2018,194.0839,Commercial
40,Current Measures,Ontario,Electricity,2018,156.2202,Industrial
41,Current Measures,Ontario,Electricity,2018,161.834,Residential
42,Current Measures,Ontario,Electricity,2019,192.258,Commercial
43,Current Measures,Ontario,Electricity,2019,150.3488,Industrial
44,Current Measures,Ontario,Electricity,2019,159.7291,Residential
45,Current Measures,Ontario,Electricity,2020,185.5773,Commercial
46,Current Measures,Ontario,Electricity,2020,145.3783,Industrial
47,Current Measures,Ontario,Electricity,2020,165.717,Residential
48,Current Measures,Ontario,Electricity,2023,201.8246,Commercial
49,Current Measures,Ontario,Electricity,2023,150.4283,Industrial
50,Current Measures,Ontario,Electricity,2023,182.2573,Residential
51,Current Measures,Ontario,Electricity,2024,204.8866,Commercial
52,Current Measures,Ontario,Electricity,2024,155.6185,Industrial
53,Current Measures,Ontario,Electricity,2024,186.0937,Residential
54,Current Measures,Ontario,Electricity,2025,207.7344,Commercial
55,Current Measures,Ontario,Electricity,2025,159.002,Industrial
56,Current Measures,Ontario,Electricity,2025,189.9059,Residential
57,Current Measures,Ontario,Electricity,2026,211.658,Commercial
58,Current Measures,Ontario,Electricity,2026,164.0294,Industrial
59,Current Measures,Ontario,Electricity,2026,193.5197,Residential
60,Current Measures,Ontario,Electricity,2027,216.7817,Commercial
61,Current Measures,Ontario,Electricity,2027,168.8214,Industrial
62,Current Measures,Ontario,Electricity,2027,197.0812,Residential
63,Current Measures,Ontario,Electricity,2028,221.8129,Commercial
64,Current Measures,Ontario,Electricity,2028,172.5092,Industrial
65,Current Measures,Ontario,Electricity,2028,200.6745,Residential
66,Current Measures,Ontario,Electricity,2029,226.8714,Commercial
67,Current Measures,Ontario,Electricity,2029,179.2291,Industrial
68,Current Measures,Ontario,Electricity,2029,204.311,Residential
69,Current Measures,Ontario,Electricity,2030,231.1432,Commercial
70,Current Measures,Ontario,Electricity,2030,184.0133,Industrial
71,Current Measures,Ontario,Electricity,2030,207.9617,Residential
72,Current Measures,Ontario,Electricity,2031,234.9674,Commercial
73,Current Measures,Ontario,Electricity,2031,189.2299,Industrial
74,Current Measures,Ontario,Electricity,2031,211.411,Residential
75,Current Measures,Ontario,Electricity,2032,238.8086,Commercial
76,Current Measures,Ontario,Electricity,2032,194.1949,Industrial
77,Current Measures,Ontario,Electricity,2032,215.0021,Residential
78,Current Measures,Ontario,Electricity,2033,242.4237,Commercial
79,Current Measures,Ontario,Electricity,2033,199.2977,Industrial
80,Current Measures,Ontario,Electricity,2033,218.7439,Residential
81,Current Measures,Ontario,Electricity,2034,245.9798,Commercial
82,Current Measures,Ontario,Electricity,2034,204.4824,Industrial
83,Current Measures,Ontario,Electricity,2034,222.4762,Residential
84,Current Measures,Ontario,Electricity,2035,249.7554,Commercial
85,Current Measures,Ontario,Electricity,2035,210.6242,Industrial
86,Current Measures,Ontario,Electricity,2035,226.218,Residential
87,Current Measures,Ontario,Electricity,2036,253.6356,Commercial
88,Current Measures,Ontario,Electricity,2036,216.8011,Industrial
89,Current Measures,Ontario,Electricity,2036,229.8643,Residential
90,Current Measures,Ontario,Electricity,2037,257.803,Commercial
91,Current Measures,Ontario,Electricity,2037,223.2776,Industrial
92,Current Measures,Ontario,Electricity,2037,233.3907,Residential
93,Current Measures,Ontario,Electricity,2038,262.1842,Commercial
94,Current Measures,Ontario,Electricity,2038,229.4403,Industrial
95,Current Measures,Ontario,Electricity,2038,236.7421,Residential
96,Current Measures,Ontario,Electricity,2039,266.6631,Commercial
97,Current Measures,Ontario,Electricity,2039,235.5068,Industrial
98,Current Measures,Ontario,Electricity,2039,239.9307,Residential
99,Current Measures,Ontario,Electricity,2040,271.3425,Commercial
100,Current Measures,Ontario,Electricity,2040,241.5933,Industrial
101,Current Measures,Ontario,Electricity,2040,242.9882,Residential
102,Current Measures,Ontario,Electricity,2041,275.8965,Commercial
103,Current Measures,Ontario,Electricity,2041,246.9238,Industrial
104,Current Measures,Ontario,Electricity,2041,245.825,Residential
105,Current Measures,Ontario,Electricity,2042,280.39,Commercial
106,Current Measures,Ontario,Electricity,2042,251.9718,Industrial
107,Current Measures,Ontario,Electricity,2042,248.4554,Residential
108,Current Measures,Ontario,Electricity,2043,284.7183,Commercial
109,Current Measures,Ontario,Electricity,2043,256.8247,Industrial
110,Current Measures,Ontario,Electricity,2043,250.8683,Residential
111,Current Measures,Ontario,Electricity,2044,288.8971,Commercial
112,Current Measures,Ontario,Electricity,2044,261.4021,Industrial
113,Current Measures,Ontario,Electricity,2044,253.0702,Residential
114,Current Measures,Ontario,Electricity,2045,293.0993,Commercial
115,Current Measures,Ontario,Electricity,2045,266.0069,Industrial
116,Current Measures,Ontario,Electricity,2045,255.1219,Residential
117,Current Measures,Ontario,Electricity,2046,297.4773,Commercial
118,Current Measures,Ontario,Electricity,2046,270.484,Industrial
119,Current Measures,Ontario,Electricity,2046,257.0304,Residential
120,Current Measures,Ontario,Electricity,2047,301.9027,Commercial
121,Current Measures,Ontario,Electricity,2047,274.3752,Industrial
122,Current Measures,Ontario,Electricity,2047,258.8598,Residential
