,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Prince Edward Island,Electricity,2005,1.7452,Commercial
1,Current Measures,Prince Edward Island,Electricity,2005,1.6317,Industrial
2,Current Measures,Prince Edward Island,Electricity,2005,0.578,Residential
3,Current Measures,Prince Edward Island,Electricity,2006,1.281,Commercial
4,Current Measures,Prince Edward Island,Electricity,2006,1.7718,Industrial
5,Current Measures,Prince Edward Island,Electricity,2006,0.587,Residential
6,Current Measures,Prince Edward Island,Electricity,2007,1.6021,Commercial
7,Current Measures,Prince Edward Island,Electricity,2007,1.9163,Industrial
8,Current Measures,Prince Edward Island,Electricity,2007,0.6071,Residential
9,Current Measures,Prince Edward Island,Electricity,2008,1.6639,Commercial
10,Current Measures,Prince Edward Island,Electricity,2008,1.8597,Industrial
11,Current Measures,Prince Edward Island,Electricity,2008,0.62,Residential
12,Current Measures,Prince Edward Island,Electricity,2009,1.746,Commercial
13,Current Measures,Prince Edward Island,Electricity,2009,1.7526,Industrial
14,Current Measures,Prince Edward Island,Electricity,2009,0.6309,Residential
15,Current Measures,Prince Edward Island,Electricity,2010,1.8171,Commercial
16,Current Measures,Prince Edward Island,Electricity,2010,1.8336,Industrial
17,Current Measures,Prince Edward Island,Electricity,2010,0.636,Residential
18,Current Measures,Prince Edward Island,Electricity,2011,1.5801,Commercial
19,Current Measures,Prince Edward Island,Electricity,2011,1.9637,Industrial
20,Current Measures,Prince Edward Island,Electricity,2011,0.66,Residential
21,Current Measures,Prince Edward Island,Electricity,2012,1.5151,Commercial
22,Current Measures,Prince Edward Island,Electricity,2012,2.1157,Industrial
23,Current Measures,Prince Edward Island,Electricity,2012,0.693,Residential
24,Current Measures,Prince Edward Island,Electricity,2013,1.805,Commercial
25,Current Measures,Prince Edward Island,Electricity,2013,2.4029,Industrial
26,Current Measures,Prince Edward Island,Electricity,2013,0.733,Residential
27,Current Measures,Prince Edward Island,Electricity,2014,2.5252,Commercial
28,Current Measures,Prince Edward Island,Electricity,2014,2.0086,Industrial
29,Current Measures,Prince Edward Island,Electricity,2014,0.7431,Residential
30,Current Measures,Prince Edward Island,Electricity,2015,2.5619,Commercial
31,Current Measures,Prince Edward Island,Electricity,2015,2.3275,Industrial
32,Current Measures,Prince Edward Island,Electricity,2015,0.8161,Residential
33,Current Measures,Prince Edward Island,Electricity,2016,2.5739,Commercial
34,Current Measures,Prince Edward Island,Electricity,2016,2.1666,Industrial
35,Current Measures,Prince Edward Island,Electricity,2016,0.807,Residential
36,Current Measures,Prince Edward Island,Electricity,2017,2.5991,Commercial
37,Current Measures,Prince Edward Island,Electricity,2017,2.1746,Industrial
38,Current Measures,Prince Edward Island,Electricity,2017,0.83,Residential
39,Current Measures,Prince Edward Island,Electricity,2018,2.656,Commercial
40,Current Measures,Prince Edward Island,Electricity,2018,2.2016,Industrial
41,Current Measures,Prince Edward Island,Electricity,2018,0.8899,Residential
42,Current Measures,Prince Edward Island,Electricity,2019,2.6448,Commercial
43,Current Measures,Prince Edward Island,Electricity,2019,2.4386,Industrial
