,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Quebec,Electricity,2005,127.259,Commercial
1,Current Measures,Quebec,Electricity,2005,358.9744,Industrial
2,Current Measures,Quebec,Electricity,2005,206.311,Residential
3,Current Measures,Quebec,Electricity,2006,123.919,Commercial
4,Current Measures,Quebec,Electricity,2006,353.7606,Industrial
5,Current Measures,Quebec,Electricity,2006,205.283,Residential
6,Current Measures,Quebec,Electricity,2007,132.4371,Commercial
7,Current Measures,Quebec,Electricity,2007,333.7943,Industrial
8,Current Measures,Quebec,Electricity,2007,217.3709,Residential
9,Current Measures,Quebec,Electricity,2008,138.2821,Commercial
10,Current Measures,Quebec,Electricity,2008,328.8976,Industrial
11,Current Measures,Quebec,Electricity,2008,220.291,Residential
12,Current Measures,Quebec,Electricity,2009,130.3051,Commercial
13,Current Measures,Quebec,Electricity,2009,301.8556,Industrial
14,Current Measures,Quebec,Electricity,2009,226.177,Residential
15,Current Measures,Quebec,Electricity,2010,129.287,Commercial
16,Current Measures,Quebec,Electricity,2010,300.3427,Industrial
17,Current Measures,Quebec,Electricity,2010,216.062,Residential
18,Current Measures,Quebec,Electricity,2011,128.3179,Commercial
19,Current Measures,Quebec,Electricity,2011,305.6085,Industrial
20,Current Measures,Quebec,Electricity,2011,227.917,Residential
21,Current Measures,Quebec,Electricity,2012,130.0189,Commercial
22,Current Measures,Quebec,Electricity,2012,286.3083,Industrial
23,Current Measures,Quebec,Electricity,2012,226.543,Residential
24,Current Measures,Quebec,Electricity,2013,131.476,Commercial
25,Current Measures,Quebec,Electricity,2013,290.3289,Industrial
26,Current Measures,Quebec,Electricity,2013,239.6359,Residential
27,Current Measures,Quebec,Electricity,2014,133.5002,Commercial
28,Current Measures,Quebec,Electricity,2014,300.355,Industrial
29,Current Measures,Quebec,Electricity,2014,253.6971,Residential
30,Current Measures,Quebec,Electricity,2015,132.9059,Commercial
31,Current Measures,Quebec,Electricity,2015,301.0033,Industrial
32,Current Measures,Quebec,Electricity,2015,242.8761,Residential
33,Current Measures,Quebec,Electricity,2016,132.279,Commercial
34,Current Measures,Quebec,Electricity,2016,305.9963,Industrial
35,Current Measures,Quebec,Electricity,2016,236.055,Residential
36,Current Measures,Quebec,Electricity,2017,132.803,Commercial
37,Current Measures,Quebec,Electricity,2017,300.9899,Industrial
38,Current Measures,Quebec,Electricity,2017,239.778,Residential
