,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Saskatchewan,Electricity,2005,18.6647,Commercial
1,Current Measures,Saskatchewan,Electricity,2005,31.704,Industrial
2,Current Measures,Saskatchewan,Electricity,2005,10.432,Residential
3,Current Measures,Saskatchewan,Electricity,2006,20.1717,Commercial
4,Current Measures,Saskatchewan,Electricity,2006,30.3829,Industrial
5,Current Measures,Saskatchewan,Electricity,2006,10.5019,Residential
6,Current Measures,Saskatchewan,Electricity,2007,20.2313,Commercial
7,Current Measures,Saskatchewan,Electricity,2007,33.9917,Industrial
8,Current Measures,Saskatchewan,Electricity,2007,10.94,Residential
9,Current Measures,Saskatchewan,Electricity,2008,20.6026,Commercial
10,Current Measures,Saskatchewan,Electricity,2008,33.7679,Industrial
11,Current Measures,Saskatchewan,Electricity,2008,11.217,Residential
12,Current Measures,Saskatchewan,Electricity,2009,20.5608,Commercial
13,Current Measures,Saskatchewan,Electricity,2009,33.0945,Industrial
14,Current Measures,Saskatchewan,Electricity,2009,11.767,Residential
15,Current Measures,Saskatchewan,Electricity,2010,19.6005,Commercial
16,Current Measures,Saskatchewan,Electricity,2010,37.9794,Industrial
17,Current Measures,Saskatchewan,Electricity,2010,11.8199,Residential
18,Current Measures,Saskatchewan,Electricity,2011,20.0676,Commercial
19,Current Measures,Saskatchewan,Electricity,2011,38.9908,Industrial
20,Current Measures,Saskatchewan,Electricity,2011,12.281,Residential
21,Current Measures,Saskatchewan,Electricity,2012,20.0708,Commercial
22,Current Measures,Saskatchewan,Electricity,2012,38.9935,Industrial
23,Current Measures,Saskatchewan,Electricity,2012,12.004,Residential
24,Current Measures,Saskatchewan,Electricity,2013,20.6717,Commercial
25,Current Measures,Saskatchewan,Electricity,2013,42.4793,Industrial
26,Current Measures,Saskatchewan,Electricity,2013,12.952,Residential
27,Current Measures,Saskatchewan,Electricity,2014,22.5684,Commercial
28,Current Measures,Saskatchewan,Electricity,2014,43.005,Industrial
29,Current Measures,Saskatchewan,Electricity,2014,13.305,Residential
30,Current Measures,Saskatchewan,Electricity,2015,23.6103,Commercial
31,Current Measures,Saskatchewan,Electricity,2015,43.0365,Industrial
32,Current Measures,Saskatchewan,Electricity,2015,12.962,Residential
33,Current Measures,Saskatchewan,Electricity,2016,24.901,Commercial
34,Current Measures,Saskatchewan,Electricity,2016,43.7475,Industrial
35,Current Measures,Saskatchewan,Electricity,2016,12.622,Residential
36,Current Measures,Saskatchewan,Electricity,2017,26.1336,Commercial
37,Current Measures,Saskatchewan,Electricity,2017,45.6398,Industrial
38,Current Measures,Saskatchewan,Electricity,2017,12.942,Residential
39,Current Measures,Saskatchewan,Electricity,2018,26.8365,Commercial
40,Current Measures,Saskatchewan,Electricity,2018,46.282,Industrial
41,Current Measures,Saskatchewan,Electricity,2018,13.242,Residential
42,Current Measures,Saskatchewan,Electricity,2019,26.5323,Commercial
43,Current Measures,Saskatchewan,Electricity,2019,46.0797,Industrial
44,Current Measures,Saskatchewan,Electricity,2019,12.826,Residential
45,Current Measures,Saskatchewan,Electricity,2020,25.475,Commercial
46,Current Measures,Saskatchewan,Electricity,2020,44.0413,Industrial
47,Current Measures,Saskatchewan,Electricity,2020,13.184,Residential
48,Current Measures,Saskatchewan,Electricity,2023,28.2841,Commercial
49,Current Measures,Saskatchewan,Electricity,2023,49.3896,Industrial
50,Current Measures,Saskatchewan,Electricity,2023,13.8471,Residential
51,Current Measures,Saskatchewan,Electricity,2024,28.7555,Commercial
52,Current Measures,Saskatchewan,Electricity,2024,51.5693,Industrial
53,Current Measures,Saskatchewan,Electricity,2024,14.1979,Residential
54,Current Measures,Saskatchewan,Electricity,2025,29.2113,Commercial
55,Current Measures,Saskatchewan,Electricity,2025,53.2573,Industrial
56,Current Measures,Saskatchewan,Electricity,2025,14.5455,Residential
