,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Yukon,Electricity,2005,0.5711,Commercial
1,Current Measures,Yukon,Electricity,2005,0.0581,Industrial
2,Current Measures,Yukon,Electricity,2005,0.433,Residential
3,Current Measures,Yukon,Electricity,2006,0.6049,Commercial
4,Current Measures,Yukon,Electricity,2006,0.095,Industrial
5,Current Measures,Yukon,Electricity,2006,0.476,Residential
6,Current Measures,Yukon,Electricity,2007,0.6349,Commercial
7,Current Measures,Yukon,Electricity,2007,0.0581,Industrial
8,Current Measures,Yukon,Electricity,2007,0.476,Residential
9,Current Measures,Yukon,Electricity,2008,0.6338,Commercial
10,Current Measures,Yukon,Electricity,2008,0.0401,Industrial
11,Current Measures,Yukon,Electricity,2008,0.5019,Residential
12,Current Measures,Yukon,Electricity,2009,0.6311,Commercial
13,Current Measures,Yukon,Electricity,2009,0.1351,Industrial
14,Current Measures,Yukon,Electricity,2009,0.516,Residential
15,Current Measures,Yukon,Electricity,2010,0.6329,Commercial
16,Current Measures,Yukon,Electricity,2010,0.1391,Industrial
17,Current Measures,Yukon,Electricity,2010,0.5131,Residential
18,Current Measures,Yukon,Electricity,2011,0.607,Commercial
19,Current Measures,Yukon,Electricity,2011,0.1851,Industrial
20,Current Measures,Yukon,Electricity,2011,0.556,Residential
21,Current Measures,Yukon,Electricity,2012,0.647,Commercial
22,Current Measures,Yukon,Electricity,2012,0.1941,Industrial
23,Current Measures,Yukon,Electricity,2012,0.5879,Residential
24,Current Measures,Yukon,Electricity,2013,0.645,Commercial
25,Current Measures,Yukon,Electricity,2013,0.1881,Industrial
26,Current Measures,Yukon,Electricity,2013,0.584,Residential
27,Current Measures,Yukon,Electricity,2014,0.654,Commercial
28,Current Measures,Yukon,Electricity,2014,0.1341,Industrial
29,Current Measures,Yukon,Electricity,2014,0.578,Residential
30,Current Measures,Yukon,Electricity,2015,0.696,Commercial
31,Current Measures,Yukon,Electricity,2015,0.1371,Industrial
32,Current Measures,Yukon,Electricity,2015,0.587,Residential
33,Current Measures,Yukon,Electricity,2016,0.694,Commercial
34,Current Measures,Yukon,Electricity,2016,0.1521,Industrial
35,Current Measures,Yukon,Electricity,2016,0.593,Residential
36,Current Measures,Yukon,Electricity,2017,0.7411,Commercial
37,Current Measures,Yukon,Electricity,2017,0.1601,Industrial
38,Current Measures,Yukon,Electricity,2017,0.65,Residential
39,Current Measures,Yukon,Electricity,2018,0.7238,Commercial
40,Current Measures,Yukon,Electricity,2018,0.1361,Industrial
41,Current Measures,Yukon,Electricity,2018,0.66,Residential
42,Current Measures,Yukon,Electricity,2019,0.7312,Commercial
43,Current Measures,Yukon,Electricity,2019,0.1411,Industrial
44,Current Measures,Yukon,Electricity,2019,0.6551,Residential
45,Current Measures,Yukon,Electricity,2020,0.6804,Commercial
46,Current Measures,Yukon,Electricity,2020,0.1981,Industrial
47,Current Measures,Yukon,Electricity,2020,0.729,Residential
48,Current Measures,Yukon,Electricity,2023,0.9178,Commercial
49,Current Measures,Yukon,Electricity,2023,0.5434,Industrial
50,Current Measures,Yukon,Electricity,2023,0.8342,Residential
51,Current Measures,Yukon,Electricity,2024,0.933,Commercial
52,Current Measures,Yukon,Electricity,2024,0.721,Industrial
53,Current Measures,Yukon,Electricity,2024,0.8465,Residential
54,Current Measures,Yukon,Electricity,2025,0.9548,Commercial
55,Current Measures,Yukon,Electricity,2025,0.7422,Industrial
56,Current Measures,Yukon,Electricity,2025,0.8566,Residential
57,Current Measures,Yukon,Electricity,2026,0.9629,Commercial
58,Current Measures,Yukon,Electricity,2026,0.771,Industrial
59,Current Measures,Yukon,Electricity,2026,0.8666,Residential
60,Current Measures,Yukon,Electricity,2027,0.973,Commercial
61,Current Measures,Yukon,Electricity,2027,0.7968,Industrial
62,Current Measures,Yukon,Electricity,2027,0.8719,Residential
63,Current Measures,Yukon,Electricity,2028,0.9808,Commercial
64,Current Measures,Yukon,Electricity,2028,1.3311,Industrial
65,Current Measures,Yukon,Electricity,2028,0.8776,Residential
66,Current Measures,Yukon,Electricity,2029,0.9913,Commercial
67,Current Measures,Yukon,Electricity,2029,1.3579,Industrial
68,Current Measures,Yukon,Electricity,2029,0.8824,Residential
69,Current Measures,Yukon,Electricity,2030,0.9946,Commercial
70,Current Measures,Yukon,Electricity,2030,1.1731,Industrial
71,Current Measures,Yukon,Electricity,2030,0.8858,Residential
