,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,British Columbia,Electricity,2005,21.0291275700908,Commercial
1,Current Measures,British Columbia,Electricity,2006,20.6052960793481,Commercial
2,Current Measures,British Columbia,Electricity,2007,20.8407941694665,Commercial
3,Current Measures,British Columbia,Electricity,2008,21.4841000589443,Commercial
4,Current Measures,British Columbia,Electricity,2009,22.5074581707902,Commercial
5,Current Measures,British Columbia,Electricity,2010,23.4836515395856,Commercial
6,Current Measures,British Columbia,Electricity,2011,21.8437173936477,Commercial
7,Current Measures,British Columbia,Electricity,2012,25.1477454095136,Commercial
8,Current Measures,British Columbia,Electricity,2013,26.689156681047,Commercial
9,Current Measures,British Columbia,Electricity,2014,28.3178642184327,Commercial
10,Current Measures,British Columbia,Electricity,2015,29.642492297179,Commercial
11,Current Measures,British Columbia,Electricity,2016,30.6193070677595,Commercial
12,Current Measures,British Columbia,Electricity,2017,31.2261913392907,Commercial
13,Current Measures,British Columbia,Electricity,2018,29.6684666633849,Commercial
14,Current Measures,British Columbia,Electricity,2019,27.7614777272761,Commercial
15,Current Measures,British Columbia,Electricity,2020,27.7367058545014,Commercial
16,Current Measures,British Columbia,Electricity,2021,29.1563170712477,Commercial
17,Current Measures,British Columbia,Electricity,2022,29.6355064858,Commercial
18,Current Measures,British Columbia,Electricity,2023,29.4393767399878,Commercial
19,Current Measures,British Columbia,Electricity,2024,29.6500956370669,Commercial
20,Current Measures,British Columbia,Electricity,2025,30.0231898795137,Commercial
21,Current Measures,British Columbia,Electricity,2026,30.3510902219158,Commercial
22,Current Measures,British Columbia,Electricity,2027,30.6009512364439,Commercial
23,Current Measures,British Columbia,Electricity,2028,30.8233866887435,Commercial
24,Current Measures,British Columbia,Electricity,2029,30.9934444375779,Commercial
25,Current Measures,British Columbia,Electricity,2030,31.154840626745,Commercial
26,Current Measures,British Columbia,Electricity,2031,31.2558576619366,Commercial
27,Current Measures,British Columbia,Electricity,2032,31.3294806183532,Commercial
28,Current Measures,British Columbia,Electricity,2033,31.407516611137,Commercial
29,Current Measures,British Columbia,Electricity,2034,31.4547831931834,Commercial
