,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Manitoba,Electricity,2005,20.0066249440186,Commercial
1,Current Measures,Manitoba,Electricity,2006,19.4632413636843,Commercial
2,Current Measures,Manitoba,Electricity,2007,19.4435713013291,Commercial
3,Current Measures,Manitoba,Electricity,2008,19.011289496979,Commercial
4,Current Measures,Manitoba,Electricity,2009,20.3027633781225,Commercial
5,Current Measures,Manitoba,Electricity,2010,20.785029547304,Commercial
6,Current Measures,Manitoba,Electricity,2011,20.749920764291,Commercial
7,Current Measures,Manitoba,Electricity,2012,20.8929528292303,Commercial
8,Current Measures,Manitoba,Electricity,2013,21.1263407987425,Commercial
9,Current Measures,Manitoba,Electricity,2014,21.6087196021005,Commercial
10,Current Measures,Manitoba,Electricity,2015,22.0408471579317,Commercial
11,Current Measures,Manitoba,Electricity,2016,22.705985090012,Commercial
12,Current Measures,Manitoba,Electricity,2017,23.2391522537746,Commercial
13,Current Measures,Manitoba,Electricity,2018,23.6377601143126,Commercial
14,Current Measures,Manitoba,Electricity,2019,24.2334542354389,Commercial
15,Current Measures,Manitoba,Electricity,2020,24.4539399911133,Commercial
16,Current Measures,Manitoba,Electricity,2021,26.4690709528354,Commercial
17,Current Measures,Manitoba,Electricity,2022,27.680184889,Commercial
18,Current Measures,Manitoba,Electricity,2023,25.128417066072,Commercial
19,Current Measures,Manitoba,Electricity,2024,27.4514236741057,Commercial
20,Current Measures,Manitoba,Electricity,2025,27.6307208425834,Commercial
21,Current Measures,Manitoba,Electricity,2026,27.813077050033,Commercial
22,Current Measures,Manitoba,Electricity,2027,27.9158989531947,Commercial
23,Current Measures,Manitoba,Electricity,2028,27.9795118086776,Commercial
24,Current Measures,Manitoba,Electricity,2029,27.9737872662159,Commercial
25,Current Measures,Manitoba,Electricity,2030,28.0563375146651,Commercial
26,Current Measures,Manitoba,Electricity,2031,28.125484253883,Commercial
27,Current Measures,Manitoba,Electricity,2032,28.1001506644592,Commercial
28,Current Measures,Manitoba,Electricity,2033,27.9703889230245,Commercial
29,Current Measures,Manitoba,Electricity,2034,27.8668720256292,Commercial
30,Current Measures,Manitoba,Electricity,2035,27.7891953405834,Commercial
31,Current Measures,Manitoba,Electricity,2036,27.6512053222306,Commercial
32,Current Measures,Manitoba,Electricity,2037,27.5775992114343,Commercial
33,Current Measures,Manitoba,Electricity,2038,27.4589249618449,Commercial
34,Current Measures,Manitoba,Electricity,2039,27.3853780119224,Commercial
35,Current Measures,Manitoba,Electricity,2040,27.3298592012841,Commercial
36,Current Measures,Manitoba,Electricity,2041,27.3725527163146,Commercial
37,Current Measures,Manitoba,Electricity,2042,27.4218216257179,Commercial
38,Current Measures,Manitoba,Electricity,2043,27.5351263611923,Commercial
39,Current Measures,Manitoba,Electricity,2044,27.5579499779155,Commercial
40,Current Measures,Manitoba,Electricity,2045,27.6993455971747,Commercial
41,Current Measures,Manitoba,Electricity,2046,27.9088232909073,Commercial
42,Current Measures,Manitoba,Electricity,2047,28.1956165289816,Commercial
43,Current Measures,Manitoba,Electricity,2048,28.5027605159253,Commercial
44,Current Measures,Manitoba,Electricity,2049,28.894815978442,Commercial
45,Current Measures,Manitoba,Electricity,2050,29.2726808144142,Commercial
46,Current Measures,Manitoba,Electricity,2005,13.5387846523474,Industrial
47,Current Measures,Manitoba,Electricity,2006,14.3142298215038,Industrial
48,Current Measures,Manitoba,Electricity,2007,14.3713288343248,Industrial
49,Current Measures,Manitoba,Electricity,2008,14.041670357312,Industrial
50,Current Measures,Manitoba,Electricity,2009,15.3768523044321,Industrial
51,Current Measures,Manitoba,Electricity,2010,14.9731186152765,Industrial
52,Current Measures,Manitoba,Electricity,2011,15.0235767355238,Industrial
53,Current Measures,Manitoba,Electricity,2012,15.1775601904459,Industrial
54,Current Measures,Manitoba,Electricity,2013,15.3275663715309,Industrial
55,Current Measures,Manitoba,Electricity,2014,15.5840964326341,Industrial
56,Current Measures,Manitoba,Electricity,2015,15.89132929761,Industrial
57,Current Measures,Manitoba,Electricity,2016,16.3736492810834,Industrial
58,Current Measures,Manitoba,Electricity,2017,16.7572783401139,Industrial
59,Current Measures,Manitoba,Electricity,2018,17.0521104686874,Industrial
60,Current Measures,Manitoba,Electricity,2019,17.4376860854721,Industrial
61,Current Measures,Manitoba,Electricity,2020,17.5963432355294,Industrial
62,Current Measures,Manitoba,Electricity,2021,19.0463689502038,Industrial
63,Current Measures,Manitoba,Electricity,2022,20.1039994904,Industrial
64,Current Measures,Manitoba,Electricity,2023,17.3441406143086,Industrial
65,Current Measures,Manitoba,Electricity,2024,20.0706908388957,Industrial
66,Current Measures,Manitoba,Electricity,2025,20.1960420773117,Industrial
67,Current Measures,Manitoba,Electricity,2026,20.3438031237042,Industrial
68,Current Measures,Manitoba,Electricity,2027,20.4508760561179,Industrial
69,Current Measures,Manitoba,Electricity,2028,20.5285413963502,Industrial
70,Current Measures,Manitoba,Electricity,2029,20.5411698025608,Industrial
71,Current Measures,Manitoba,Electricity,2030,20.6115453720365,Industrial
72,Current Measures,Manitoba,Electricity,2031,20.6884916531161,Industrial
73,Current Measures,Manitoba,Electricity,2032,20.6609610415011,Industrial
74,Current Measures,Manitoba,Electricity,2033,20.529078488254,Industrial
75,Current Measures,Manitoba,Electricity,2034,20.4281982375012,Industrial
76,Current Measures,Manitoba,Electricity,2035,20.3530497772123,Industrial
77,Current Measures,Manitoba,Electricity,2036,20.2306879562295,Industrial
78,Current Measures,Manitoba,Electricity,2037,20.1550749698343,Industrial
79,Current Measures,Manitoba,Electricity,2038,20.0430004724069,Industrial
80,Current Measures,Manitoba,Electricity,2039,19.97180964608,Industrial
81,Current Measures,Manitoba,Electricity,2040,19.9187415994832,Industrial
82,Current Measures,Manitoba,Electricity,2041,19.9599229691186,Industrial
83,Current Measures,Manitoba,Electricity,2042,20.0156606058601,Industrial
84,Current Measures,Manitoba,Electricity,2043,20.1199781707809,Industrial
85,Current Measures,Manitoba,Electricity,2044,20.1530546105178,Industrial
86,Current Measures,Manitoba,Electricity,2045,20.2859538855551,Industrial
87,Current Measures,Manitoba,Electricity,2046,20.5054284732289,Industrial
88,Current Measures,Manitoba,Electricity,2047,20.7841705581394,Industrial
89,Current Measures,Manitoba,Electricity,2048,21.0907935872097,Industrial
90,Current Measures,Manitoba,Electricity,2049,21.4858052024994,Industrial
91,Current Measures,Manitoba,Electricity,2050,21.8600350419883,Industrial
92,Current Measures,Manitoba,Electricity,2005,25.4990121965131,Residential
93,Current Measures,Manitoba,Electricity,2006,27.0854838382519,Residential
94,Current Measures,Manitoba,Electricity,2007,26.9193642128264,Residential
95,Current Measures,Manitoba,Electricity,2008,26.0915054085074,Residential
96,Current Measures,Manitoba,Electricity,2009,28.0477738137193,Residential
97,Current Measures,Manitoba,Electricity,2010,28.467254068818,Residential
98,Current Measures,Manitoba,Electricity,2011,28.7501860112839,Residential
