,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,New Brunswick,Electricity,2005,35.9089262943425,Commercial
1,Current Measures,New Brunswick,Electricity,2006,36.0087063131308,Commercial
2,Current Measures,New Brunswick,Electricity,2007,37.1963860874068,Commercial
3,Current Measures,New Brunswick,Electricity,2008,38.9898445920567,Commercial
4,Current Measures,New Brunswick,Electricity,2009,40.073000151465,Commercial
5,Current Measures,New Brunswick,Electricity,2010,39.5342599988523,Commercial
6,Current Measures,New Brunswick,Electricity,2011,39.8913231352576,Commercial
7,Current Measures,New Brunswick,Electricity,2012,39.3727486358108,Commercial
8,Current Measures,New Brunswick,Electricity,2013,38.8674464401291,Commercial
9,Current Measures,New Brunswick,Electricity,2014,38.8833879527093,Commercial
10,Current Measures,New Brunswick,Electricity,2015,39.2716499305722,Commercial
11,Current Measures,New Brunswick,Electricity,2016,39.531934585354,Commercial
12,Current Measures,New Brunswick,Electricity,2017,40.8327929337204,Commercial
13,Current Measures,New Brunswick,Electricity,2018,40.1900545179935,Commercial
14,Current Measures,New Brunswick,Electricity,2019,39.6757966287919,Commercial
15,Current Measures,New Brunswick,Electricity,2020,39.2439852255059,Commercial
16,Current Measures,New Brunswick,Electricity,2021,42.085941459194,Commercial
17,Current Measures,New Brunswick,Electricity,2022,43.2011830996,Commercial
18,Current Measures,New Brunswick,Electricity,2023,42.481306410806,Commercial
19,Current Measures,New Brunswick,Electricity,2024,42.6284622251729,Commercial
20,Current Measures,New Brunswick,Electricity,2025,43.2112992059486,Commercial
21,Current Measures,New Brunswick,Electricity,2026,43.4250614370189,Commercial
22,Current Measures,New Brunswick,Electricity,2027,43.666415831255,Commercial
23,Current Measures,New Brunswick,Electricity,2028,43.9668529838408,Commercial
24,Current Measures,New Brunswick,Electricity,2029,43.8953079964196,Commercial
25,Current Measures,New Brunswick,Electricity,2030,43.9057458274524,Commercial
26,Current Measures,New Brunswick,Electricity,2031,43.9782715363755,Commercial
27,Current Measures,New Brunswick,Electricity,2032,43.4887938156728,Commercial
28,Current Measures,New Brunswick,Electricity,2033,42.9958106447304,Commercial
29,Current Measures,New Brunswick,Electricity,2034,42.5110302605837,Commercial
30,Current Measures,New Brunswick,Electricity,2035,42.0611914788765,Commercial
31,Current Measures,New Brunswick,Electricity,2036,41.7588560366748,Commercial
32,Current Measures,New Brunswick,Electricity,2037,41.1248277846978,Commercial
33,Current Measures,New Brunswick,Electricity,2038,40.5097514037514,Commercial
34,Current Measures,New Brunswick,Electricity,2039,40.0193429660206,Commercial
35,Current Measures,New Brunswick,Electricity,2040,39.5419446136288,Commercial
36,Current Measures,New Brunswick,Electricity,2041,39.1020223873791,Commercial
37,Current Measures,New Brunswick,Electricity,2042,39.676292530589,Commercial
38,Current Measures,New Brunswick,Electricity,2043,40.1035224994028,Commercial
39,Current Measures,New Brunswick,Electricity,2044,40.4843342506081,Commercial
40,Current Measures,New Brunswick,Electricity,2045,40.7675457608889,Commercial
41,Current Measures,New Brunswick,Electricity,2046,40.8286389294066,Commercial
42,Current Measures,New Brunswick,Electricity,2047,41.3717135129049,Commercial
43,Current Measures,New Brunswick,Electricity,2048,41.8749484300811,Commercial
44,Current Measures,New Brunswick,Electricity,2049,42.3693715765785,Commercial
45,Current Measures,New Brunswick,Electricity,2050,42.8843246674716,Commercial
46,Current Measures,New Brunswick,Electricity,2005,19.2730408602691,Industrial
47,Current Measures,New Brunswick,Electricity,2006,22.5526427912746,Industrial
48,Current Measures,New Brunswick,Electricity,2007,23.7718792768978,Industrial
49,Current Measures,New Brunswick,Electricity,2008,25.5818714204548,Industrial
50,Current Measures,New Brunswick,Electricity,2009,26.2604647383117,Industrial
51,Current Measures,New Brunswick,Electricity,2010,25.9074284926551,Industrial
52,Current Measures,New Brunswick,Electricity,2011,26.1545379287283,Industrial
53,Current Measures,New Brunswick,Electricity,2012,25.8145416411543,Industrial
54,Current Measures,New Brunswick,Electricity,2013,25.4832467429611,Industrial
55,Current Measures,New Brunswick,Electricity,2014,25.4816890023293,Industrial
56,Current Measures,New Brunswick,Electricity,2015,25.7244510189255,Industrial
57,Current Measures,New Brunswick,Electricity,2016,25.9023188181196,Industrial
58,Current Measures,New Brunswick,Electricity,2017,27.0028186629983,Industrial
59,Current Measures,New Brunswick,Electricity,2018,26.5777742895755,Industrial
60,Current Measures,New Brunswick,Electricity,2019,26.4023287287847,Industrial
61,Current Measures,New Brunswick,Electricity,2020,26.6425540217298,Industrial
62,Current Measures,New Brunswick,Electricity,2021,28.2834555956547,Industrial
63,Current Measures,New Brunswick,Electricity,2022,29.311993438,Industrial
64,Current Measures,New Brunswick,Electricity,2023,28.0064762942608,Industrial
65,Current Measures,New Brunswick,Electricity,2024,28.9040118800147,Industrial
66,Current Measures,New Brunswick,Electricity,2025,29.3865412402631,Industrial
67,Current Measures,New Brunswick,Electricity,2026,29.5359650041306,Industrial
68,Current Measures,New Brunswick,Electricity,2027,29.7852407853866,Industrial
69,Current Measures,New Brunswick,Electricity,2028,30.1118201918739,Industrial
70,Current Measures,New Brunswick,Electricity,2029,30.0743865036013,Industrial
71,Current Measures,New Brunswick,Electricity,2030,30.0621815348005,Industrial
72,Current Measures,New Brunswick,Electricity,2031,30.14920185887,Industrial
73,Current Measures,New Brunswick,Electricity,2032,29.6556312317041,Industrial
74,Current Measures,New Brunswick,Electricity,2033,29.1587204163133,Industrial
75,Current Measures,New Brunswick,Electricity,2034,28.6788354456967,Industrial
76,Current Measures,New Brunswick,Electricity,2035,28.2337052986656,Industrial
77,Current Measures,New Brunswick,Electricity,2036,27.9604181620236,Industrial
