,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Newfoundland and Labrador,Electricity,2005,29.1190971298698,Commercial
1,Current Measures,Newfoundland and Labrador,Electricity,2006,29.9328757171027,Commercial
2,Current Measures,Newfoundland and Labrador,Electricity,2007,30.7377387127838,Commercial
3,Current Measures,Newfoundland and Labrador,Electricity,2008,29.584251671,Commercial
4,Current Measures,Newfoundland and Labrador,Electricity,2009,31.7854815688714,Commercial
5,Current Measures,Newfoundland and Labrador,Electricity,2010,29.6835403289269,Commercial
6,Current Measures,Newfoundland and Labrador,Electricity,2011,29.9184859109807,Commercial
7,Current Measures,Newfoundland and Labrador,Electricity,2012,32.4825166710334,Commercial
8,Current Measures,Newfoundland and Labrador,Electricity,2013,34.792634012951,Commercial
9,Current Measures,Newfoundland and Labrador,Electricity,2014,32.3669638336258,Commercial
10,Current Measures,Newfoundland and Labrador,Electricity,2015,32.8481524608423,Commercial
11,Current Measures,Newfoundland and Labrador,Electricity,2016,30.0334248351743,Commercial
12,Current Measures,Newfoundland and Labrador,Electricity,2017,27.12229899726,Commercial
13,Current Measures,Newfoundland and Labrador,Electricity,2018,29.6647938822953,Commercial
14,Current Measures,Newfoundland and Labrador,Electricity,2019,31.5208563228238,Commercial
15,Current Measures,Newfoundland and Labrador,Electricity,2020,33.3822810195447,Commercial
16,Current Measures,Newfoundland and Labrador,Electricity,2021,35.4218919387342,Commercial
17,Current Measures,Newfoundland and Labrador,Electricity,2022,35.6675799226,Commercial
18,Current Measures,Newfoundland and Labrador,Electricity,2023,37.4019654662012,Commercial
19,Current Measures,Newfoundland and Labrador,Electricity,2024,36.7196637567252,Commercial
20,Current Measures,Newfoundland and Labrador,Electricity,2025,37.2254447348032,Commercial
21,Current Measures,Newfoundland and Labrador,Electricity,2026,37.6159009221769,Commercial
22,Current Measures,Newfoundland and Labrador,Electricity,2027,37.8726333932267,Commercial
23,Current Measures,Newfoundland and Labrador,Electricity,2028,38.0957188197275,Commercial
24,Current Measures,Newfoundland and Labrador,Electricity,2029,38.2919043228126,Commercial
25,Current Measures,Newfoundland and Labrador,Electricity,2030,38.5677368075476,Commercial
26,Current Measures,Newfoundland and Labrador,Electricity,2031,38.8096991755182,Commercial
27,Current Measures,Newfoundland and Labrador,Electricity,2032,39.027749756353,Commercial
28,Current Measures,Newfoundland and Labrador,Electricity,2033,39.2560567487804,Commercial
29,Current Measures,Newfoundland and Labrador,Electricity,2034,39.4760116034908,Commercial
30,Current Measures,Newfoundland and Labrador,Electricity,2035,39.7119137896165,Commercial
31,Current Measures,Newfoundland and Labrador,Electricity,2036,39.8579731539003,Commercial
32,Current Measures,Newfoundland and Labrador,Electricity,2037,40.0796524174221,Commercial
33,Current Measures,Newfoundland and Labrador,Electricity,2038,40.2863322227423,Commercial
34,Current Measures,Newfoundland and Labrador,Electricity,2039,40.5175779672001,Commercial
35,Current Measures,Newfoundland and Labrador,Electricity,2040,40.7616363353721,Commercial
36,Current Measures,Newfoundland and Labrador,Electricity,2041,41.0361681960844,Commercial
37,Current Measures,Newfoundland and Labrador,Electricity,2042,41.3193604899287,Commercial
38,Current Measures,Newfoundland and Labrador,Electricity,2043,41.6706270909471,Commercial
39,Current Measures,Newfoundland and Labrador,Electricity,2044,41.943901366408,Commercial
40,Current Measures,Newfoundland and Labrador,Electricity,2045,42.2993678301271,Commercial
41,Current Measures,Newfoundland and Labrador,Electricity,2046,42.6254047978491,Commercial
42,Current Measures,Newfoundland and Labrador,Electricity,2047,43.0271020090274,Commercial
43,Current Measures,Newfoundland and Labrador,Electricity,2048,43.3863728397052,Commercial
44,Current Measures,Newfoundland and Labrador,Electricity,2049,43.7364789768345,Commercial
45,Current Measures,Newfoundland and Labrador,Electricity,2050,44.1052104304904,Commercial
46,Current Measures,Newfoundland and Labrador,Electricity,2005,21.2668166583009,Industrial
47,Current Measures,Newfoundland and Labrador,Electricity,2006,26.0196412391124,Industrial
48,Current Measures,Newfoundland and Labrador,Electricity,2007,26.8490406997678,Industrial
49,Current Measures,Newfoundland and Labrador,Electricity,2008,26.282287630438,Industrial
50,Current Measures,Newfoundland and Labrador,Electricity,2009,28.5237161351186,Industrial
51,Current Measures,Newfoundland and Labrador,Electricity,2010,26.3999539582834,Industrial
52,Current Measures,Newfoundland and Labrador,Electricity,2011,26.7014362434067,Industrial
53,Current Measures,Newfoundland and Labrador,Electricity,2012,29.3072886501186,Industrial
54,Current Measures,Newfoundland and Labrador,Electricity,2013,31.6581667767582,Industrial
55,Current Measures,Newfoundland and Labrador,Electricity,2014,29.2624395708394,Industrial
56,Current Measures,Newfoundland and Labrador,Electricity,2015,29.7733935306815,Industrial
57,Current Measures,Newfoundland and Labrador,Electricity,2016,26.8672508939232,Industrial
58,Current Measures,Newfoundland and Labrador,Electricity,2017,23.8664299886453,Industrial
