,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Northwest Territories,Electricity,2005,30.71620978836,Commercial
1,Current Measures,Northwest Territories,Electricity,2006,30.8116447151578,Commercial
2,Current Measures,Northwest Territories,Electricity,2007,31.1638228398445,Commercial
3,Current Measures,Northwest Territories,Electricity,2008,32.1257577215284,Commercial
4,Current Measures,Northwest Territories,Electricity,2009,33.6560012578987,Commercial
5,Current Measures,Northwest Territories,Electricity,2010,36.303223526402,Commercial
6,Current Measures,Northwest Territories,Electricity,2011,34.9499297965413,Commercial
7,Current Measures,Northwest Territories,Electricity,2012,40.2364002833056,Commercial
8,Current Measures,Northwest Territories,Electricity,2013,40.572582961871,Commercial
9,Current Measures,Northwest Territories,Electricity,2014,42.3444802112993,Commercial
10,Current Measures,Northwest Territories,Electricity,2015,44.3252249745976,Commercial
11,Current Measures,Northwest Territories,Electricity,2016,45.7858766808882,Commercial
12,Current Measures,Northwest Territories,Electricity,2017,46.6933691092203,Commercial
13,Current Measures,Northwest Territories,Electricity,2018,45.864289410161,Commercial
14,Current Measures,Northwest Territories,Electricity,2019,44.4183852054007,Commercial
15,Current Measures,Northwest Territories,Electricity,2020,44.8225100397528,Commercial
16,Current Measures,Northwest Territories,Electricity,2021,47.1166001647144,Commercial
17,Current Measures,Northwest Territories,Electricity,2022,47.8909881032,Commercial
18,Current Measures,Northwest Territories,Electricity,2023,48.4992698174523,Commercial
19,Current Measures,Northwest Territories,Electricity,2024,48.0279333411449,Commercial
20,Current Measures,Northwest Territories,Electricity,2025,48.6540364272946,Commercial
21,Current Measures,Northwest Territories,Electricity,2026,49.2383276391313,Commercial
22,Current Measures,Northwest Territories,Electricity,2027,49.5191341658761,Commercial
23,Current Measures,Northwest Territories,Electricity,2028,49.6894226817292,Commercial
24,Current Measures,Northwest Territories,Electricity,2029,49.7416881075971,Commercial
25,Current Measures,Northwest Territories,Electricity,2030,49.8634589245211,Commercial
26,Current Measures,Northwest Territories,Electricity,2031,49.8496629552867,Commercial
27,Current Measures,Northwest Territories,Electricity,2032,49.8329992936562,Commercial
28,Current Measures,Northwest Territories,Electricity,2033,49.6180984886296,Commercial
