,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Nova Scotia,Electricity,2005,31.9340603518632,Commercial
1,Current Measures,Nova Scotia,Electricity,2006,36.9698448719308,Commercial
2,Current Measures,Nova Scotia,Electricity,2007,36.824418841689,Commercial
3,Current Measures,Nova Scotia,Electricity,2008,36.0214089004181,Commercial
4,Current Measures,Nova Scotia,Electricity,2009,39.3074864938478,Commercial
5,Current Measures,Nova Scotia,Electricity,2010,39.0088924902702,Commercial
6,Current Measures,Nova Scotia,Electricity,2011,41.5320051983676,Commercial
7,Current Measures,Nova Scotia,Electricity,2012,43.7863070668554,Commercial
8,Current Measures,Nova Scotia,Electricity,2013,44.822936698959,Commercial
9,Current Measures,Nova Scotia,Electricity,2014,45.3383492604218,Commercial
10,Current Measures,Nova Scotia,Electricity,2015,44.9036331440881,Commercial
11,Current Measures,Nova Scotia,Electricity,2016,43.8741228896833,Commercial
12,Current Measures,Nova Scotia,Electricity,2017,43.8497012738117,Commercial
13,Current Measures,Nova Scotia,Electricity,2018,43.541679153442,Commercial
14,Current Measures,Nova Scotia,Electricity,2019,43.232732271871,Commercial
15,Current Measures,Nova Scotia,Electricity,2020,46.6496752052153,Commercial
16,Current Measures,Nova Scotia,Electricity,2021,49.4913383918062,Commercial
17,Current Measures,Nova Scotia,Electricity,2022,49.8432289248,Commercial
18,Current Measures,Nova Scotia,Electricity,2023,52.2587459362537,Commercial
19,Current Measures,Nova Scotia,Electricity,2024,51.1053526736132,Commercial
20,Current Measures,Nova Scotia,Electricity,2025,51.5479588192083,Commercial
21,Current Measures,Nova Scotia,Electricity,2026,51.9157076575319,Commercial
22,Current Measures,Nova Scotia,Electricity,2027,51.8304583183832,Commercial
23,Current Measures,Nova Scotia,Electricity,2028,51.72528371725,Commercial
24,Current Measures,Nova Scotia,Electricity,2029,51.581930239946,Commercial
25,Current Measures,Nova Scotia,Electricity,2030,51.6164585681465,Commercial
26,Current Measures,Nova Scotia,Electricity,2031,51.6631134200718,Commercial
27,Current Measures,Nova Scotia,Electricity,2032,51.6524523629425,Commercial
28,Current Measures,Nova Scotia,Electricity,2033,51.4516285689868,Commercial
29,Current Measures,Nova Scotia,Electricity,2034,51.2784613727237,Commercial
30,Current Measures,Nova Scotia,Electricity,2035,51.2069431833038,Commercial
31,Current Measures,Nova Scotia,Electricity,2036,51.4219625218471,Commercial
32,Current Measures,Nova Scotia,Electricity,2037,51.7445873701282,Commercial
33,Current Measures,Nova Scotia,Electricity,2038,52.0680249702212,Commercial
34,Current Measures,Nova Scotia,Electricity,2039,52.4617158096095,Commercial
35,Current Measures,Nova Scotia,Electricity,2040,52.9778862614742,Commercial
36,Current Measures,Nova Scotia,Electricity,2041,53.220963909074,Commercial
37,Current Measures,Nova Scotia,Electricity,2042,53.6836531452168,Commercial
38,Current Measures,Nova Scotia,Electricity,2043,54.1522716845921,Commercial
39,Current Measures,Nova Scotia,Electricity,2044,54.5359987883128,Commercial
40,Current Measures,Nova Scotia,Electricity,2045,55.0455040839856,Commercial
41,Current Measures,Nova Scotia,Electricity,2046,55.245508686969,Commercial
42,Current Measures,Nova Scotia,Electricity,2047,55.559136560467,Commercial
43,Current Measures,Nova Scotia,Electricity,2048,55.8288096848664,Commercial
44,Current Measures,Nova Scotia,Electricity,2049,56.0948167260061,Commercial
45,Current Measures,Nova Scotia,Electricity,2050,56.3833450692433,Commercial
46,Current Measures,Nova Scotia,Electricity,2005,21.1761810017713,Industrial
47,Current Measures,Nova Scotia,Electricity,2006,26.67184927616,Industrial
48,Current Measures,Nova Scotia,Electricity,2007,27.1195574096081,Industrial
49,Current Measures,Nova Scotia,Electricity,2008,26.5157641519286,Industrial
50,Current Measures,Nova Scotia,Electricity,2009,28.9564006647482,Industrial
51,Current Measures,Nova Scotia,Electricity,2010,28.2059376373721,Industrial
52,Current Measures,Nova Scotia,Electricity,2011,29.8863093602702,Industrial
53,Current Measures,Nova Scotia,Electricity,2012,32.8635267432199,Industrial
54,Current Measures,Nova Scotia,Electricity,2013,33.6328715973173,Industrial
55,Current Measures,Nova Scotia,Electricity,2014,34.8567246020596,Industrial
56,Current Measures,Nova Scotia,Electricity,2015,35.0704992334409,Industrial
57,Current Measures,Nova Scotia,Electricity,2016,34.7374460667662,Industrial
58,Current Measures,Nova Scotia,Electricity,2017,34.8288523170998,Industrial
59,Current Measures,Nova Scotia,Electricity,2018,34.6922190637337,Industrial
60,Current Measures,Nova Scotia,Electricity,2019,34.5572690347529,Industrial
61,Current Measures,Nova Scotia,Electricity,2020,35.5622163231165,Industrial
62,Current Measures,Nova Scotia,Electricity,2021,37.3823474598653,Industrial
63,Current Measures,Nova Scotia,Electricity,2022,38.7345443872,Industrial
64,Current Measures,Nova Scotia,Electricity,2023,39.5599080960592,Industrial
65,Current Measures,Nova Scotia,Electricity,2024,39.0648264659557,Industrial
66,Current Measures,Nova Scotia,Electricity,2025,39.4194214164959,Industrial
67,Current Measures,Nova Scotia,Electricity,2026,39.7307545927202,Industrial
68,Current Measures,Nova Scotia,Electricity,2027,39.652436578513,Industrial
69,Current Measures,Nova Scotia,Electricity,2028,39.570183926941,Industrial
70,Current Measures,Nova Scotia,Electricity,2029,39.4567619499888,Industrial
71,Current Measures,Nova Scotia,Electricity,2030,39.4714298153361,Industrial
72,Current Measures,Nova Scotia,Electricity,2031,39.5307975516982,Industrial
73,Current Measures,Nova Scotia,Electricity,2032,39.5165591576357,Industrial
74,Current Measures,Nova Scotia,Electricity,2033,39.3122790938569,Industrial
75,Current Measures,Nova Scotia,Electricity,2034,39.1434035414135,Industrial
76,Current Measures,Nova Scotia,Electricity,2035,39.0760210767714,Industrial
77,Current Measures,Nova Scotia,Electricity,2036,39.3165265175551,Industrial
78,Current Measures,Nova Scotia,Electricity,2037,39.6358769822117,Industrial
79,Current Measures,Nova Scotia,Electricity,2038,39.9700818149332,Industrial
80,Current Measures,Nova Scotia,Electricity,2039,40.3676139785942,Industrial
81,Current Measures,Nova Scotia,Electricity,2040,40.887777825333,Industrial
82,Current Measures,Nova Scotia,Electricity,2041,41.12838436694,Industrial
83,Current Measures,Nova Scotia,Electricity,2042,41.6016364412274,Industrial
84,Current Measures,Nova Scotia,Electricity,2043,42.0555996227531,Industrial
85,Current Measures,Nova Scotia,Electricity,2044,42.4560455016814,Industrial
86,Current Measures,Nova Scotia,Electricity,2045,42.9516856266179,Industrial
87,Current Measures,Nova Scotia,Electricity,2046,43.1679938250647,Industrial
88,Current Measures,Nova Scotia,Electricity,2047,43.4684872353197,Industrial
89,Current Measures,Nova Scotia,Electricity,2048,43.7373170332601,Industrial
90,Current Measures,Nova Scotia,Electricity,2049,44.0081376493563,Industrial
91,Current Measures,Nova Scotia,Electricity,2050,44.2907474940866,Industrial
92,Current Measures,Nova Scotia,Electricity,2005,41.1666706846521,Residential
93,Current Measures,Nova Scotia,Electricity,2006,46.495507291173,Residential
94,Current Measures,Nova Scotia,Electricity,2007,44.2400292319031,Residential
95,Current Measures,Nova Scotia,Electricity,2008,43.2156854977584,Residential
96,Current Measures,Nova Scotia,Electricity,2009,50.8484414529372,Residential
97,Current Measures,Nova Scotia,Electricity,2010,46.648138373507,Residential
98,Current Measures,Nova Scotia,Electricity,2011,48.3038681495007,Residential
99,Current Measures,Nova Scotia,Electricity,2012,52.5435506813643,Residential
100,Current Measures,Nova Scotia,Electricity,2013,53.383182885812,Residential
101,Current Measures,Nova Scotia,Electricity,2014,54.3184056840744,Residential
102,Current Measures,Nova Scotia,Electricity,2015,53.7976156125466,Residential
