,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Nunavut,Electricity,2005,30.71620978836,Commercial
1,Current Measures,Nunavut,Electricity,2006,30.8116447151578,Commercial
2,Current Measures,Nunavut,Electricity,2007,31.1638228398445,Commercial
3,Current Measures,Nunavut,Electricity,2008,32.1257577215284,Commercial
4,Current Measures,Nunavut,Electricity,2009,33.6560012578987,Commercial
5,Current Measures,Nunavut,Electricity,2010,36.303223526402,Commercial
6,Current Measures,Nunavut,Electricity,2011,34.9499297965413,Commercial
7,Current Measures,Nunavut,Electricity,2012,40.2364002833056,Commercial
8,Current Measures,Nunavut,Electricity,2013,40.572582961871,Commercial
9,Current Measures,Nunavut,Electricity,2014,42.3444802112993,Commercial
10,Current Measures,Nunavut,Electricity,2015,44.3252249745976,Commercial
11,Current Measures,Nunavut,Electricity,2016,45.7858766808882,Commercial
12,Current Measures,Nunavut,Electricity,2017,46.6933691092203,Commercial
13,Current Measures,Nunavut,Electricity,2018,45.864289410161,Commercial
14,Current Measures,Nunavut,Electricity,2019,44.4183852054007,Commercial
15,Current Measures,Nunavut,Electricity,2020,44.3787339652034,Commercial
16,Current Measures,Nunavut,Electricity,2021,47.1166001647144,Commercial
17,Current Measures,Nunavut,Electricity,2022,48.3651531684,Commercial
18,Current Measures,Nunavut,Electricity,2023,49.3278807871969,Commercial
19,Current Measures,Nunavut,Electricity,2024,48.0074340978564,Commercial
20,Current Measures,Nunavut,Electricity,2025,48.6894256391563,Commercial
21,Current Measures,Nunavut,Electricity,2026,49.1804893596067,Commercial
22,Current Measures,Nunavut,Electricity,2027,49.4296324231011,Commercial
23,Current Measures,Nunavut,Electricity,2028,49.5957183402931,Commercial
24,Current Measures,Nunavut,Electricity,2029,49.6941868316393,Commercial
25,Current Measures,Nunavut,Electricity,2030,49.9270435632869,Commercial
26,Current Measures,Nunavut,Electricity,2031,50.4518907818947,Commercial
27,Current Measures,Nunavut,Electricity,2032,51.0289780075867,Commercial
28,Current Measures,Nunavut,Electricity,2033,51.5133251094101,Commercial
29,Current Measures,Nunavut,Electricity,2034,52.0008641978781,Commercial
30,Current Measures,Nunavut,Electricity,2035,52.444703443412,Commercial
31,Current Measures,Nunavut,Electricity,2036,54.0295825351893,Commercial
32,Current Measures,Nunavut,Electricity,2037,55.6198495311937,Commercial
33,Current Measures,Nunavut,Electricity,2038,57.0966425722826,Commercial
34,Current Measures,Nunavut,Electricity,2039,58.5319686324495,Commercial
35,Current Measures,Nunavut,Electricity,2040,59.9104536989142,Commercial
36,Current Measures,Nunavut,Electricity,2041,61.1451387175389,Commercial
37,Current Measures,Nunavut,Electricity,2042,62.2710411623207,Commercial
38,Current Measures,Nunavut,Electricity,2043,63.4021099338062,Commercial
39,Current Measures,Nunavut,Electricity,2044,64.371754848297,Commercial
40,Current Measures,Nunavut,Electricity,2045,65.392035134932,Commercial
41,Current Measures,Nunavut,Electricity,2046,65.4982197626007,Commercial
42,Current Measures,Nunavut,Electricity,2047,65.7325023276172,Commercial
43,Current Measures,Nunavut,Electricity,2048,65.9325334886358,Commercial
44,Current Measures,Nunavut,Electricity,2049,66.1503079927646,Commercial
45,Current Measures,Nunavut,Electricity,2050,66.4185560351123,Commercial
46,Current Measures,Nunavut,Electricity,2005,25.194473052244,Industrial
47,Current Measures,Nunavut,Electricity,2006,26.6375160269124,Industrial
48,Current Measures,Nunavut,Electricity,2007,26.9437080088371,Industrial
49,Current Measures,Nunavut,Electricity,2008,27.7498257201891,Industrial
50,Current Measures,Nunavut,Electricity,2009,29.1294718113017,Industrial
