,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Prince Edward Island,Electricity,2005,40.5856482769026,Commercial
1,Current Measures,Prince Edward Island,Electricity,2006,39.4413715117211,Commercial
2,Current Measures,Prince Edward Island,Electricity,2007,42.7082114382141,Commercial
3,Current Measures,Prince Edward Island,Electricity,2008,46.6610633897353,Commercial
4,Current Measures,Prince Edward Island,Electricity,2009,54.8174837759665,Commercial
5,Current Measures,Prince Edward Island,Electricity,2010,50.1402151833671,Commercial
6,Current Measures,Prince Edward Island,Electricity,2011,42.8188224892122,Commercial
7,Current Measures,Prince Edward Island,Electricity,2012,42.2622032107444,Commercial
8,Current Measures,Prince Edward Island,Electricity,2013,46.0140372607888,Commercial
9,Current Measures,Prince Edward Island,Electricity,2014,46.7215455848858,Commercial
10,Current Measures,Prince Edward Island,Electricity,2015,48.1001634982819,Commercial
11,Current Measures,Prince Edward Island,Electricity,2016,49.0606282695374,Commercial
12,Current Measures,Prince Edward Island,Electricity,2017,50.0328743518183,Commercial
13,Current Measures,Prince Edward Island,Electricity,2018,50.4213278622465,Commercial
14,Current Measures,Prince Edward Island,Electricity,2019,49.5947371019236,Commercial
15,Current Measures,Prince Edward Island,Electricity,2020,49.5504736236156,Commercial
16,Current Measures,Prince Edward Island,Electricity,2021,53.6491356217335,Commercial
17,Current Measures,Prince Edward Island,Electricity,2022,55.589739822,Commercial
18,Current Measures,Prince Edward Island,Electricity,2023,53.112844536833,Commercial
19,Current Measures,Prince Edward Island,Electricity,2024,52.8591812018087,Commercial
20,Current Measures,Prince Edward Island,Electricity,2025,52.7579107599471,Commercial
21,Current Measures,Prince Edward Island,Electricity,2026,52.288655075472,Commercial
22,Current Measures,Prince Edward Island,Electricity,2027,52.1943884024469,Commercial
23,Current Measures,Prince Edward Island,Electricity,2028,52.3163384005211,Commercial
24,Current Measures,Prince Edward Island,Electricity,2029,52.2427485106079,Commercial
25,Current Measures,Prince Edward Island,Electricity,2030,52.1254120581205,Commercial
26,Current Measures,Prince Edward Island,Electricity,2031,51.5055103403291,Commercial
27,Current Measures,Prince Edward Island,Electricity,2032,51.3543699362734,Commercial
28,Current Measures,Prince Edward Island,Electricity,2033,51.1901360994381,Commercial
29,Current Measures,Prince Edward Island,Electricity,2034,50.9766240627325,Commercial
30,Current Measures,Prince Edward Island,Electricity,2035,50.761384852679,Commercial
31,Current Measures,Prince Edward Island,Electricity,2036,50.9016231662709,Commercial
32,Current Measures,Prince Edward Island,Electricity,2037,50.8532149350435,Commercial
33,Current Measures,Prince Edward Island,Electricity,2038,50.8038792663601,Commercial
34,Current Measures,Prince Edward Island,Electricity,2039,50.7377341381354,Commercial
35,Current Measures,Prince Edward Island,Electricity,2040,50.7888418851846,Commercial
36,Current Measures,Prince Edward Island,Electricity,2041,50.4348484017301,Commercial
37,Current Measures,Prince Edward Island,Electricity,2042,49.8036690600651,Commercial
38,Current Measures,Prince Edward Island,Electricity,2043,49.2066101808692,Commercial
39,Current Measures,Prince Edward Island,Electricity,2044,48.5677587044314,Commercial
40,Current Measures,Prince Edward Island,Electricity,2045,48.0512252517567,Commercial
41,Current Measures,Prince Edward Island,Electricity,2046,47.3385376923413,Commercial
42,Current Measures,Prince Edward Island,Electricity,2047,46.8942687283073,Commercial
43,Current Measures,Prince Edward Island,Electricity,2048,46.4314778440887,Commercial
44,Current Measures,Prince Edward Island,Electricity,2049,45.9722647256588,Commercial
45,Current Measures,Prince Edward Island,Electricity,2050,45.5678922783462,Commercial
46,Current Measures,Prince Edward Island,Electricity,2005,23.1815296767571,Industrial
47,Current Measures,Prince Edward Island,Electricity,2006,23.4108090909222,Industrial
48,Current Measures,Prince Edward Island,Electricity,2007,26.5785239899276,Industrial
49,Current Measures,Prince Edward Island,Electricity,2008,30.6181962299065,Industrial
50,Current Measures,Prince Edward Island,Electricity,2009,37.6766037769714,Industrial
51,Current Measures,Prince Edward Island,Electricity,2010,33.0327844908081,Industrial
52,Current Measures,Prince Edward Island,Electricity,2011,28.2456272971602,Industrial
53,Current Measures,Prince Edward Island,Electricity,2012,27.878434133686,Industrial
54,Current Measures,Prince Edward Island,Electricity,2013,30.4670662149285,Industrial
55,Current Measures,Prince Edward Island,Electricity,2014,30.5226979652301,Industrial
56,Current Measures,Prince Edward Island,Electricity,2015,30.899785297652,Industrial
57,Current Measures,Prince Edward Island,Electricity,2016,31.3602019118141,Industrial
58,Current Measures,Prince Edward Island,Electricity,2017,31.991164478401,Industrial
59,Current Measures,Prince Edward Island,Electricity,2018,32.163803576922,Industrial
60,Current Measures,Prince Edward Island,Electricity,2019,31.6365280853015,Industrial
61,Current Measures,Prince Edward Island,Electricity,2020,31.6082917366099,Industrial
62,Current Measures,Prince Edward Island,Electricity,2021,34.2228371549234,Industrial
63,Current Measures,Prince Edward Island,Electricity,2022,36.1361953722,Industrial
64,Current Measures,Prince Edward Island,Electricity,2023,32.7402575582722,Industrial
65,Current Measures,Prince Edward Island,Electricity,2024,33.5427048294426,Industrial
66,Current Measures,Prince Edward Island,Electricity,2025,33.3002540659696,Industrial
67,Current Measures,Prince Edward Island,Electricity,2026,32.7404680762472,Industrial
68,Current Measures,Prince Edward Island,Electricity,2027,32.6573232025946,Industrial
69,Current Measures,Prince Edward Island,Electricity,2028,32.8160634220868,Industrial
70,Current Measures,Prince Edward Island,Electricity,2029,32.7904907588032,Industrial
71,Current Measures,Prince Edward Island,Electricity,2030,32.6412978176468,Industrial
72,Current Measures,Prince Edward Island,Electricity,2031,32.0417837540433,Industrial
73,Current Measures,Prince Edward Island,Electricity,2032,31.8848926952216,Industrial
74,Current Measures,Prince Edward Island,Electricity,2033,31.7151289731313,Industrial
75,Current Measures,Prince Edward Island,Electricity,2034,31.5085083839693,Industrial
76,Current Measures,Prince Edward Island,Electricity,2035,31.2998898625551,Industrial
77,Current Measures,Prince Edward Island,Electricity,2036,31.4810220577875,Industrial
78,Current Measures,Prince Edward Island,Electricity,2037,31.4273516760919,Industrial
79,Current Measures,Prince Edward Island,Electricity,2038,31.3952980674816,Industrial
80,Current Measures,Prince Edward Island,Electricity,2039,31.3353173153797,Industrial
81,Current Measures,Prince Edward Island,Electricity,2040,31.3928425389805,Industrial
82,Current Measures,Prince Edward Island,Electricity,2041,31.0348818959813,Industrial
83,Current Measures,Prince Edward Island,Electricity,2042,30.4206385138992,Industrial
84,Current Measures,Prince Edward Island,Electricity,2043,29.8000727492575,Industrial
85,Current Measures,Prince Edward Island,Electricity,2044,29.1880391770944,Industrial
86,Current Measures,Prince Edward Island,Electricity,2045,28.6492604728111,Industrial
87,Current Measures,Prince Edward Island,Electricity,2046,27.9627370143022,Industrial
88,Current Measures,Prince Edward Island,Electricity,2047,27.4973992930189,Industrial
89,Current Measures,Prince Edward Island,Electricity,2048,27.0332437056564,Industrial
90,Current Measures,Prince Edward Island,Electricity,2049,26.5817640825202,Industrial
91,Current Measures,Prince Edward Island,Electricity,2050,26.1678879097078,Industrial
92,Current Measures,Prince Edward Island,Electricity,2005,45.8565512508643,Residential
93,Current Measures,Prince Edward Island,Electricity,2006,47.525298604173,Residential
94,Current Measures,Prince Edward Island,Electricity,2007,50.8264883052695,Residential
95,Current Measures,Prince Edward Island,Electricity,2008,54.4573736806817,Residential
96,Current Measures,Prince Edward Island,Electricity,2009,63.4295157557823,Residential
97,Current Measures,Prince Edward Island,Electricity,2010,58.439457286094,Residential
98,Current Measures,Prince Edward Island,Electricity,2011,51.4453196681076,Residential
99,Current Measures,Prince Edward Island,Electricity,2012,50.7765432102113,Residential
100,Current Measures,Prince Edward Island,Electricity,2013,59.3719816908993,Residential
101,Current Measures,Prince Edward Island,Electricity,2014,60.8664965660049,Residential
102,Current Measures,Prince Edward Island,Electricity,2015,61.7752406891608,Residential
103,Current Measures,Prince Edward Island,Electricity,2016,62.9075079937303,Residential
104,Current Measures,Prince Edward Island,Electricity,2017,64.8545593168993,Residential
105,Current Measures,Prince Edward Island,Electricity,2018,65.4227786791227,Residential
106,Current Measures,Prince Edward Island,Electricity,2019,64.3502509060217,Residential
107,Current Measures,Prince Edward Island,Electricity,2020,64.2928260917722,Residential
108,Current Measures,Prince Edward Island,Electricity,2021,69.6109344927481,Residential
109,Current Measures,Prince Edward Island,Electricity,2022,72.1289025844,Residential
110,Current Measures,Prince Edward Island,Electricity,2023,69.3797180686712,Residential
111,Current Measures,Prince Edward Island,Electricity,2024,68.6577410407342,Residential
112,Current Measures,Prince Edward Island,Electricity,2025,68.5987919323279,Residential
113,Current Measures,Prince Edward Island,Electricity,2026,68.0960418614459,Residential
114,Current Measures,Prince Edward Island,Electricity,2027,67.9830918296615,Residential
115,Current Measures,Prince Edward Island,Electricity,2028,68.1083486576864,Residential
116,Current Measures,Prince Edward Island,Electricity,2029,68.004164178626,Residential
117,Current Measures,Prince Edward Island,Electricity,2030,67.8822158481088,Residential
118,Current Measures,Prince Edward Island,Electricity,2031,67.1610146350136,Residential
