,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Saskatchewan,Electricity,2005,31.2948258166466,Commercial
1,Current Measures,Saskatchewan,Electricity,2006,33.5371796733405,Commercial
2,Current Measures,Saskatchewan,Electricity,2007,33.375303712476,Commercial
3,Current Measures,Saskatchewan,Electricity,2008,32.6527391900714,Commercial
4,Current Measures,Saskatchewan,Electricity,2009,32.5842714760414,Commercial
5,Current Measures,Saskatchewan,Electricity,2010,33.919348735208,Commercial
6,Current Measures,Saskatchewan,Electricity,2011,35.194435515351,Commercial
7,Current Measures,Saskatchewan,Electricity,2012,34.7369078429219,Commercial
8,Current Measures,Saskatchewan,Electricity,2013,35.9837345747807,Commercial
9,Current Measures,Saskatchewan,Electricity,2014,37.5923981526331,Commercial
10,Current Measures,Saskatchewan,Electricity,2015,38.3279152996512,Commercial
11,Current Measures,Saskatchewan,Electricity,2016,38.7177893702592,Commercial
12,Current Measures,Saskatchewan,Electricity,2017,42.1172244670237,Commercial
13,Current Measures,Saskatchewan,Electricity,2018,42.924275234898,Commercial
14,Current Measures,Saskatchewan,Electricity,2019,43.1459726606352,Commercial
15,Current Measures,Saskatchewan,Electricity,2020,43.1074671307051,Commercial
16,Current Measures,Saskatchewan,Electricity,2021,45.3137783027022,Commercial
17,Current Measures,Saskatchewan,Electricity,2022,46.5191146864,Commercial
18,Current Measures,Saskatchewan,Electricity,2023,46.9851224913703,Commercial
19,Current Measures,Saskatchewan,Electricity,2024,45.6071106844502,Commercial
20,Current Measures,Saskatchewan,Electricity,2025,46.5975525291661,Commercial
21,Current Measures,Saskatchewan,Electricity,2026,47.4333731314328,Commercial
22,Current Measures,Saskatchewan,Electricity,2027,48.0526378234818,Commercial
23,Current Measures,Saskatchewan,Electricity,2028,48.1916600675741,Commercial
24,Current Measures,Saskatchewan,Electricity,2029,48.5198801207798,Commercial
25,Current Measures,Saskatchewan,Electricity,2030,48.4219048220386,Commercial
26,Current Measures,Saskatchewan,Electricity,2031,48.4628032224458,Commercial
27,Current Measures,Saskatchewan,Electricity,2032,48.3810012548586,Commercial
