,Scenario,Region,Variable,Year,Value,Sector
0,Current Measures,Yukon,Electricity,2005,25.9168041823206,Commercial
1,Current Measures,Yukon,Electricity,2006,25.997320503813,Commercial
2,Current Measures,Yukon,Electricity,2007,26.2944679052205,Commercial
3,Current Measures,Yukon,Electricity,2008,27.106112668145,Commercial
4,Current Measures,Yukon,Electricity,2009,28.3972477297292,Commercial
5,Current Measures,Yukon,Electricity,2010,30.630858408591,Commercial
6,Current Measures,Yukon,Electricity,2011,29.4890101088231,Commercial
7,Current Measures,Yukon,Electricity,2012,33.949473466032,Commercial
8,Current Measures,Yukon,Electricity,2013,34.2331282478051,Commercial
9,Current Measures,Yukon,Electricity,2014,35.7281451785773,Commercial
10,Current Measures,Yukon,Electricity,2015,37.3994173333989,Commercial
11,Current Measures,Yukon,Electricity,2016,38.6318375997903,Commercial
12,Current Measures,Yukon,Electricity,2017,39.3975219634092,Commercial
13,Current Measures,Yukon,Electricity,2018,38.6979989720904,Commercial
14,Current Measures,Yukon,Electricity,2019,37.4779984054492,Commercial
15,Current Measures,Yukon,Electricity,2020,46.056797450539,Commercial
16,Current Measures,Yukon,Electricity,2021,49.5948895177008,Commercial
17,Current Measures,Yukon,Electricity,2022,50.8100859088,Commercial
18,Current Measures,Yukon,Electricity,2023,51.1221290848399,Commercial
19,Current Measures,Yukon,Electricity,2024,49.5855900243128,Commercial
20,Current Measures,Yukon,Electricity,2025,49.9887194118047,Commercial
21,Current Measures,Yukon,Electricity,2026,51.3829404636141,Commercial
22,Current Measures,Yukon,Electricity,2027,52.1237723485144,Commercial
23,Current Measures,Yukon,Electricity,2028,52.4604905968411,Commercial
24,Current Measures,Yukon,Electricity,2029,52.6593816373831,Commercial
25,Current Measures,Yukon,Electricity,2030,53.0956953355211,Commercial
26,Current Measures,Yukon,Electricity,2031,53.4438201363766,Commercial
27,Current Measures,Yukon,Electricity,2032,54.1121071685654,Commercial
28,Current Measures,Yukon,Electricity,2033,54.9529662096506,Commercial
29,Current Measures,Yukon,Electricity,2034,55.769938367735,Commercial
30,Current Measures,Yukon,Electricity,2035,56.9507025158156,Commercial
31,Current Measures,Yukon,Electricity,2036,57.4692560065436,Commercial
32,Current Measures,Yukon,Electricity,2037,58.1522228966903,Commercial
33,Current Measures,Yukon,Electricity,2038,58.9098730660903,Commercial
34,Current Measures,Yukon,Electricity,2039,59.6856891728245,Commercial
35,Current Measures,Yukon,Electricity,2040,60.3681883890599,Commercial
36,Current Measures,Yukon,Electricity,2041,60.9911505161457,Commercial
37,Current Measures,Yukon,Electricity,2042,61.5334959475336,Commercial
38,Current Measures,Yukon,Electricity,2043,62.0109587374052,Commercial
39,Current Measures,Yukon,Electricity,2044,62.3694288187466,Commercial
40,Current Measures,Yukon,Electricity,2045,62.4620854403778,Commercial
41,Current Measures,Yukon,Electricity,2046,62.6989481850408,Commercial
42,Current Measures,Yukon,Electricity,2047,63.0546068609049,Commercial
43,Current Measures,Yukon,Electricity,2048,63.3671384325498,Commercial
44,Current Measures,Yukon,Electricity,2049,63.6851243738769,Commercial
